['943', '316', '449', '134', '450', '582', '93', '49', '207', '521', '717', '443', '288', '735', '875', '209', '748', '834', '699', '868', '882', '891', '870', '893', '823', '340', '535', '251', '40', '742', '78', '239', '869', '265', '242', '654', '967', '374', '683', '650', '5', '408', '60', '904', '795', '393', '921', '841', '546', '485']
['652', '964', '183', '760', '295', '289', '677', '729', '706', '611', '303', '721', '961', '627', '70', '629', '688', '465', '92', '681', '883', '97', '420', '206', '155', '21', '322', '838', '43', '958', '396', '422', '849', '575', '676', '333', '231', '16', '704', '261', '20', '114', '310', '907', '711', '749', '89', '617', '947', '193']
['241', '752', '513', '861', '780', '273', '565', '252', '586', '567', '853', '645', '464', '649', '622', '431', '902', '80', '104', '858', '937', '302', '228', '774', '328', '685', '560', '813', '460', '542', '540', '386', '269', '826', '263', '908', '294', '997', '621', '651', '63', '572', '595', '740', '953', '692', '827', '824', '453', '188']
['764', '809', '514', '593', '724', '448', '782', '910', '170', '989', '959', '523', '458', '412', '641', '387', '973', '673', '143', '100', '311', '835', '22', '103', '754', '113', '425', '871', '666', '873', '715', '257', '471', '810', '467', '942', '61', '786', '615', '350', '852', '941', '607', '29', '965', '452', '490', '334', '385', '163']
['862', '248', '33', '949', '714', '240', '671', '254', '895', '494', '463', '404', '227', '732', '771', '892', '133', '484', '828', '682', '433', '789', '220', '446', '536', '644', '929', '205', '391', '98', '982', '145', '954', '344', '507', '509', '290', '751', '998', '9', '604', '110', '792', '267', '697', '599', '662', '623', '674', '744']
['268', '960', '309', '687', '920', '437', '476', '504', '237', '898', '41', '175', '520', '472', '405', '157', '245', '174', '663', '585', '528', '117', '840', '87', '614', '979', '694', '987', '138', '67', '581', '59', '352', '483', '577', '872', '945', '508', '594', '235', '417', '201', '996', '115', '88', '10', '286', '579', '772', '796']
['129', '136', '962', '994', '569', '554', '456', '876', '329', '90', '419', '121', '596', '478', '765', '106', '634', '120', '283', '260', '55', '635', '716', '291', '977', '315', '899', '479', '969', '122', '917', '348', '543', '281', '171', '966', '857', '105', '414', '886', '922', '927', '388', '1', '866', '187', '166', '421', '107', '631']
['356', '445', '156', '69', '802', '475', '522', '318', '839', '42', '330', '438', '769', '700', '377', '389', '763', '963', '672', '799', '900', '381', '38', '266', '602', '906', '424', '159', '370', '203', '234', '574', '986', '885', '332', '39', '119', '459', '598', '905', '693', '803', '84', '956', '272', '75', '931', '243', '492', '77']
['19', '775', '591', '655', '501', '980', '491', '756', '202', '727', '566', '661', '984', '46', '625', '912', '836', '863', '896', '855', '131', '558', '147', '926', '669', '731', '158', '636', '319', '160', '923', '407', '177', '648', '426', '189', '587', '81', '708', '588', '605', '8', '778', '925', '275', '992', '606', '51', '767', '86']
['776', '375', '418', '968', '4', '415', '597', '258', '750', '362', '71', '819', '555', '225', '951', '643', '846', '746', '974', '527', '196', '360', '957', '32', '28', '548', '845', '429', '603', '568', '271', '259', '481', '0', '976', '812', '916', '392', '833', '930', '376', '499', '541', '804', '762', '619', '317', '413', '199', '801']
['510', '879', '498', '401', '436', '176', '280', '768', '503', '296', '728', '94', '696', '753', '347', '378', '877', '439', '442', '550', '216', '640', '279', '363', '379', '451', '940', '195', '668', '312', '818', '57', '576', '17', '18', '806', '578', '320', '496', '306', '434', '531', '25', '718', '233', '864', '65', '647', '3', '219']
