['746', '192', '251']
['159', '876', '71']
['752', '516', '601']
['511', '223', '413']
['804', '465', '34']
['642', '509', '343']
['990', '566', '584']
['654', '79', '823']
['810', '138', '671']
['767', '227', '361']
['100', '830', '582']
['246', '218', '525']
['835', '213', '217']
['528', '353', '144']
['245', '4', '255']
['172', '501', '929']
['369', '257', '770']
['302', '68', '587']
['993', '749', '313']
['294', '124', '960']
['341', '837', '728']
['157', '819', '914']
['757', '395', '779']
['938', '640', '112']
['802', '311', '471']
['365', '991', '279']
['648', '131', '416']
['606', '322', '436']
['59', '574', '424']
['984', '65', '560']
['72', '782', '966']
['988', '759', '58']
['943', '898', '847']
['321', '260', '419']
['888', '163', '266']
['240', '913', '951']
['349', '151', '373']
['554', '868', '906']
['44', '964', '448']
['904', '621', '815']
['432', '976', '513']
['337', '258', '651']
['273', '76', '916']
['745', '885', '965']
['187', '529', '116']
['538', '890', '764']
['208', '981', '210']
['928', '998', '806']
['455', '230', '773']
['285', '319', '237']
['556', '280', '917']
['927', '166', '589']
['783', '450', '457']
['557', '80', '459']
['120', '348', '221']
['624', '504', '625']
['940', '315', '952']
['839', '196', '333']
['190', '127', '656']
['821', '355', '160']
['384', '663', '370']
['9', '111', '185']
['616', '750', '822']
['512', '649', '638']
['944', '494', '707']
['298', '907', '781']
['942', '805', '709']
['493', '125', '102']
['623', '225', '622']
['930', '954', '510']
['169', '398', '39']
['922', '934', '631']
['316', '228', '595']
['613', '288', '212']
['975', '727', '70']
['81', '766', '467']
['708', '586', '653']
['57', '193', '558']
['562', '678', '639']
['207', '747', '421']
['199', '874', '751']
['231', '883', '924']
['676', '886', '446']
['204', '29', '470']
['14', '508', '183']
['276', '123', '786']
['403', '499', '429']
['833', '122', '303']
['391', '547', '958']
['700', '634', '489']
['176', '174', '858']
['22', '103', '641']
['36', '412', '970']
['530', '533', '517']
['463', '256', '632']
['117', '272', '872']
['195', '635', '339']
['149', '506', '564']
['106', '619', '963']
['347', '427', '778']
['838', '404', '536']
['665', '813', '98']
['969', '141', '755']
['787', '118', '490']
['175', '855', '697']
['585', '719', '8']
['400', '771', '797']
['549', '534', '45']
['284', '418', '38']
['870', '130', '867']
['555', '476', '77']
['173', '13', '460']
['704', '332', '278']
['267', '422', '312']
['680', '371', '889']
['643', '345', '733']
['452', '679', '629']
['367', '887', '145']
['753', '188', '949']
['205', '113', '7']
['440', '346', '357']
['186', '372', '203']
['880', '483', '832']
['532', '388', '982']
['364', '17', '37']
['818', '126', '495']
['110', '93', '107']
['243', '165', '684']
['559', '550', '780']
['324', '83', '262']
['85', '194', '375']
['760', '817', '119']
['544', '891', '936']
['732', '836', '263']
['23', '233', '911']
['576', '865', '101']
['689', '980', '374']
['438', '502', '487']
['291', '758', '359']
['644', '600', '655']
['297', '42', '264']
['894', '892', '78']
['590', '156', '242']
['214', '948', '24']
['420', '351', '974']
['816', '409', '492']
['61', '154', '443']
['901', '715', '633']
['690', '136', '688']
