['399', '178', '156', '527', '295', '662', '416']
['383', '400', '91', '264', '240', '417', '149']
['155', '396', '17', '624', '259', '405', '669']
['60', '256', '158', '663', '271', '352', '243']
['188', '111', '15', '261', '430', '384', '635']
['525', '484', '425', '151', '391', '558', '303']
['69', '225', '507', '191', '48', '26', '329']
['325', '372', '320', '432', '319', '684', '194']
['171', '647', '287', '59', '618', '44', '83']
['601', '644', '16', '119', '658', '4', '407']
['227', '501', '596', '498', '260', '648', '9']
['273', '210', '41', '510', '285', '494', '29']
['623', '481', '584', '672', '478', '698', '228']
['289', '503', '465', '183', '7', '58', '90']
['206', '459', '457', '274', '516', '627', '514']
['559', '209', '645', '244', '280', '499', '128']
['693', '337', '212', '564', '233', '245', '555']
['148', '39', '479', '515', '385', '253', '207']
['699', '180', '127', '604', '161', '179', '610']
['480', '231', '468', '446', '326', '124', '10']
['378', '342', '379', '215', '441', '31', '621']
['258', '11', '298', '376', '45', '575', '277']
['545', '460', '466', '633', '591', '53', '268']
['443', '23', '622', '670', '335', '535', '665']
['250', '354', '67', '548', '103', '651', '444']
['313', '569', '129', '170', '113', '173', '186']
['78', '550', '343', '107', '472', '321', '219']
['79', '169', '361', '520', '529', '333', '230']
['216', '632', '266', '182', '205', '566', '641']
['345', '656', '612', '614', '556', '530', '115']
['553', '214', '84', '587', '358', '144', '291']
['120', '132', '324', '356', '304', '666', '482']
['422', '203', '433', '154', '108', '421', '272']
['590', '255', '513', '611', '574', '673', '554']
['269', '248', '620', '659', '232', '331', '117']
['681', '24', '267', '339', '561', '661', '94']
['688', '683', '462', '252', '390', '312', '427']
['537', '340', '616', '680', '660', '71', '34']
['395', '175', '429', '629', '649', '146', '370']
['431', '549', '365', '552', '235', '177', '102']
['283', '504', '257', '426', '563', '294', '336']
['93', '452', '229', '281', '57', '619', '162']
['547', '150', '351', '454', '467', '46', '434']
['40', '589', '677', '608', '364', '696', '125']
['540', '65', '77', '51', '398', '586', '393']
['477', '116', '301', '222', '166', '109', '110']
['25', '643', '394', '49', '47', '199', '172']
['415', '198', '106', '473', '523', '655', '114']
['640', '126', '690', '435', '139', '671', '220']
['636', '568', '542', '38', '686', '98', '528']
['311', '576', '639', '246', '458', '388', '2']
['99', '423', '164', '654', '387', '609', '606']
['221', '582', '565', '27', '475', '32', '338']
['142', '583', '96', '631', '254', '580', '453']
['664', '600', '404', '22', '442', '64', '560']
['551', '121', '306', '217', '137', '650', '439']
['239', '410', '118', '35', '308', '350', '448']
['408', '136', '691', '562', '123', '226', '524']
['414', '300', '62', '8', '218', '572', '56']
['18', '201', '377', '92', '637', '450', '487']
['145', '389', '532', '88', '318', '293', '595']
['234', '202', '668', '270', '519', '187', '237']
['143', '581', '157', '500', '505', '200', '497']
['211', '196', '371', '251', '82', '597', '0']
['276', '70', '275', '463', '223', '496', '667']
['674', '406', '594', '75', '241', '36', '208']
['508', '299', '242', '557', '628', '63', '653']
['445', '570', '403', '679', '493', '316', '42']
['279', '131', '428', '165', '159', '68', '305']
['346', '464', '485', '112', '579', '682', '181']
['678', '247', '355', '3', '687', '577', '697']
['195', '192', '238', '449', '592', '130', '495']
['585', '290', '471', '265', '81', '675', '66']
['184', '1', '634', '334', '451', '588', '341']
['104', '322', '676', '613', '12', '694', '531']
['52', '100', '54', '607', '657', '140', '263']
['375', '593', '6', '314', '133', '20', '317']
['599', '347', '438', '511', '309', '307', '193']
['469', '348', '33', '278', '546', '189', '174']
['95', '349', '14', '262', '286', '30', '282']
['380', '185', '626', '456', '152', '489', '292']
['368', '534', '518', '357', '302', '28', '521']
['474', '147', '76', '288', '573', '366', '37']
['526', '19', '330', '236', '483', '436', '424']
['284', '5', '204', '367', '168', '190', '491']
['359', '101', '625', '509', '692', '685', '87']
['382', '642', '134', '409', '605', '315', '55']
['578', '602', '512', '401', '43', '402', '412']
['630', '141', '328', '502', '571', '567', '61']
['418', '638', '544', '363', '543', '74', '85']
['695', '397', '386', '413', '360', '522', '327']
['160', '490', '419', '73', '362', '536', '89']
['50', '344', '296', '138', '689', '21', '135']
['461', '506', '176', '598', '533', '374', '646']
['470', '652', '310', '411', '492', '392', '323']
['486', '447', '615', '97', '603', '197', '167']
['539', '105', '122', '488', '86', '13', '373']
['153', '437', '541', '224', '353', '213', '332']
['538', '72', '297', '617', '476', '163', '517']
['80', '249', '381', '455', '369', '420', '440']
