['685', '840', '82', '866', '432', '506', '662', '549', '139', '663', '715', '262', '545', '51', '157', '340', '617', '181', '156', '102', '154', '513', '225', '879', '704', '887', '16', '258', '468', '453', '18', '776', '37', '343', '759', '5', '216', '46', '106', '494', '850', '636', '464', '297', '571']
['622', '528', '359', '223', '667', '539', '655', '737', '672', '450', '458', '796', '352', '532', '878', '332', '159', '266', '50', '595', '61', '125', '376', '891', '3', '729', '626', '695', '162', '876', '443', '677', '194', '21', '101', '531', '747', '171', '625', '813', '778', '705', '208', '693', '237']
['380', '399', '463', '400', '268', '96', '730', '331', '131', '499', '807', '825', '843', '382', '728', '605', '120', '700', '372', '449', '798', '199', '415', '805', '743', '335', '238', '793', '707', '586', '566', '603', '720', '544', '435', '371', '379', '473', '313', '456', '649', '478', '692', '517', '187']
['577', '259', '358', '500', '327', '64', '132', '684', '316', '742', '818', '296', '255', '696', '515', '541', '830', '422', '554', '373', '58', '158', '496', '609', '99', '724', '897', '76', '536', '417', '348', '222', '708', '631', '342', '669', '2', '643', '739', '247', '782', '182', '70', '444', '288']
['511', '590', '801', '697', '777', '602', '668', '871', '856', '621', '239', '361', '690', '858', '599', '337', '328', '105', '420', '273', '109', '646', '278', '660', '799', '869', '274', '113', '86', '307', '116', '172', '188', '411', '440', '518', '780', '542', '635', '475', '810', '230', '48', '864', '894']
['881', '653', '756', '769', '72', '512', '370', '492', '503', '276', '451', '623', '642', '52', '320', '140', '107', '817', '390', '418', '174', '94', '581', '275', '251', '471', '240', '657', '91', '510', '530', '860', '624', '287', '138', '232', '13', '723', '381', '754', '671', '534', '295', '231', '221']
['367', '732', '243', '83', '559', '678', '583', '768', '127', '165', '87', '110', '719', '290', '350', '455', '145', '576', '369', '888', '476', '129', '150', '100', '228', '746', '128', '65', '45', '22', '469', '392', '620', '829', '738', '560', '540', '160', '786', '785', '347', '760', '183', '257', '815']
['35', '0', '398', '546', '84', '265', '548', '702', '504', '179', '604', '169', '606', '482', '822', '29', '92', '806', '687', '837', '868', '859', '537', '333', '877', '383', '644', '207', '552', '538', '143', '122', '892', '53', '205', '153', '142', '710', '839', '452', '394', '436', '484', '141', '47']
['689', '38', '43', '627', '784', '77', '899', '448', '792', '505', '716', '645', '166', '656', '119', '299', '28', '558', '133', '206', '765', '557', '40', '271', '569', '397', '325', '217', '104', '354', '44', '861', '108', '377', '709', '854', '357', '74', '423', '847', '81', '600', '263', '386', '731']
['260', '734', '215', '14', '514', '177', '355', '579', '71', '688', '803', '795', '425', '852', '191', '848', '857', '718', '874', '834', '529', '889', '112', '32', '424', '508', '628', '368', '49', '180', '733', '607', '219', '640', '501', '88', '535', '303', '426', '691', '578', '304', '312', '189', '200']
['763', '750', '827', '214', '366', '306', '410', '318', '670', '341', '648', '701', '745', '27', '842', '479', '480', '736', '34', '286', '184', '264', '281', '203', '374', '790', '467', '773', '176', '405', '227', '846', '816', '565', '661', '226', '329', '564', '69', '442', '270', '835', '870', '588', '493']
['62', '25', '66', '562', '321', '673', '674', '809', '580', '20', '762', '884', '252', '770', '121', '26', '592', '67', '703', '445', '610', '654', '744', '824', '694', '522', '641', '235', '10', '438', '146', '349', '430', '567', '401', '322', '681', '282', '523', '502', '196', '766', '375', '301', '753']
['250', '652', '63', '213', '212', '819', '173', '220', '117', '573', '758', '393', '488', '498', '242', '195', '457', '752', '637', '324', '414', '873', '431', '111', '305', '779', '477', '706', '408', '865', '612', '525', '454', '459', '679', '585', '675', '547', '638', '556', '118', '447', '651', '319', '863']
['666', '774', '168', '794', '178', '481', '867', '68', '812', '126', '486', '19', '17', '608', '253', '353', '124', '362', '4', '285', '234', '267', '402', '893', '433', '293', '416', '346', '686', '446', '875', '134', '483', '883', '302', '114', '190', '767', '149', '788', '555', '568', '465', '664', '152']
['563', '802', '619', '130', '202', '135', '137', '434', '533', '791', '553', '509', '800', '589', '507', '629', '308', '761', '613', '33', '862', '9', '395', '73', '658', '95', '772', '428', '764', '474', '388', '814', '387', '209', '561', '6', '714', '831', '57', '836', '749', '757', '97', '787', '351']
['23', '740', '427', '55', '246', '682', '236', '147', '551', '632', '284', '890', '495', '598', '727', '93', '634', '721', '391', '298', '89', '811', '311', '841', '698', '15', '472', '317', '164', '594', '550', '615', '396', '407', '229', '726', '80', '895', '151', '241', '193', '526', '676', '36', '570']
['783', '659', '248', '808', '844', '711', '148', '527', '855', '360', '582', '489', '186', '797', '519', '741', '7', '406', '614', '30', '345', '409', '233', '845', '470', '277', '460', '466', '832', '192', '804', '683', '283', '439', '292', '853', '520', '735', '334', '851', '98', '210', '280', '41', '123']
['385', '886', '85', '339', '338', '204', '593', '775', '596', '584', '616', '1', '75', '828', '201', '699', '136', '437', '198', '249', '461', '197', '211', '587', '60', '524', '291', '11', '838', '823', '90', '591', '713', '244', '224', '572', '336', '404', '680', '344', '54', '748', '880', '365', '611']
['256', '218', '279', '647', '254', '412', '487', '384', '79', '421', '712', '170', '833', '771', '650', '543', '8', '245', '485', '24', '497', '115', '885', '378', '633', '521', '314', '175', '665', '826', '363', '491', '272', '751', '39', '516', '630', '310', '309', '78', '403', '781', '167', '618', '323']
['882', '326', '161', '574', '725', '330', '31', '356', '144', '490', '289', '575', '462', '300', '364', '294', '717', '896', '12', '821', '389', '872', '441', '849', '820', '429', '42', '261', '722', '56', '269', '419', '789', '103', '898', '59', '597', '601', '639', '155', '755', '185', '315', '413', '163']
