['452', '281', '255', '606', '302', '740', '123', '628', '331', '329', '280', '437', '132', '674', '713', '543', '391', '717', '642', '201', '151', '739', '718', '82', '306', '48', '670', '571', '148', '8']
['67', '406', '401', '248', '36', '351', '592', '459', '180', '621', '105', '408', '555', '597', '386', '570', '669', '414', '660', '121', '424', '251', '71', '111', '723', '217', '695', '164', '641', '512']
['665', '637', '578', '187', '481', '715', '486', '554', '322', '500', '104', '454', '707', '81', '478', '548', '393', '655', '431', '106', '711', '429', '403', '496', '626', '42', '138', '1', '557', '294']
['92', '169', '705', '137', '533', '726', '448', '109', '698', '343', '537', '649', '303', '348', '202', '260', '677', '316', '527', '159', '640', '283', '482', '170', '558', '37', '284', '634', '80', '77']
['734', '682', '464', '318', '270', '573', '409', '479', '701', '373', '542', '39', '616', '566', '12', '45', '257', '664', '430', '582', '370', '732', '525', '190', '564', '667', '675', '706', '536', '528']
['427', '321', '743', '539', '209', '363', '605', '476', '495', '410', '46', '86', '93', '413', '361', '229', '347', '453', '126', '23', '604', '552', '442', '472', '57', '586', '292', '311', '600', '593']
['162', '741', '470', '40', '733', '451', '90', '716', '193', '135', '102', '689', '175', '643', '49', '565', '475', '157', '337', '614', '392', '615', '619', '334', '21', '88', '487', '65', '434', '720']
['428', '128', '346', '644', '156', '435', '143', '274', '26', '368', '540', '420', '477', '362', '400', '456', '585', '78', '127', '163', '326', '108', '636', '307', '556', '684', '652', '43', '150', '421']
['714', '13', '399', '396', '253', '305', '545', '230', '225', '383', '2', '624', '681', '167', '19', '371', '317', '699', '165', '729', '277', '186', '563', '440', '360', '443', '587', '219', '265', '364']
['580', '568', '354', '686', '513', '708', '338', '301', '567', '402', '632', '122', '700', '266', '598', '446', '345', '336', '609', '236', '314', '588', '188', '194', '697', '323', '7', '144', '275', '211']
['192', '224', '179', '744', '269', '125', '727', '264', '746', '117', '390', '380', '462', '60', '671', '415', '17', '222', '286', '460', '339', '631', '279', '425', '258', '502', '484', '683', '577', '208']
['210', '439', '618', '130', '220', '394', '627', '517', '29', '505', '118', '324', '228', '721', '530', '51', '504', '79', '680', '74', '263', '231', '653', '702', '735', '549', '352', '27', '405', '254']
['176', '560', '278', '247', '325', '638', '154', '295', '34', '276', '365', '599', '382', '58', '498', '54', '178', '551', '298', '110', '199', '221', '668', '261', '141', '249', '353', '384', '596', '432']
['174', '312', '590', '546', '633', '581', '243', '62', '458', '463', '327', '11', '61', '492', '418', '267', '145', '160', '94', '271', '18', '366', '335', '703', '455', '245', '83', '342', '32', '233']
['398', '28', '131', '0', '416', '3', '320', '31', '147', '572', '657', '242', '291', '304', '639', '227', '520', '100', '730', '340', '506', '610', '171', '113', '152', '467', '575', '89', '602', '381']
['197', '212', '55', '333', '240', '480', '531', '196', '99', '198', '656', '293', '262', '748', '696', '387', '290', '63', '385', '155', '678', '206', '207', '319', '238', '372', '666', '189', '177', '136']
['204', '15', '747', '268', '139', '149', '356', '629', '389', '213', '182', '436', '738', '69', '509', '308', '535', '35', '693', '622', '433', '679', '710', '98', '20', '473', '50', '72', '515', '507']
['44', '285', '749', '444', '114', '561', '116', '64', '532', '237', '129', '287', '650', '511', '688', '550', '493', '232', '252', '745', '215', '490', '404', '544', '491', '497', '140', '724', '694', '250']
['591', '66', '742', '184', '183', '663', '574', '244', '654', '612', '14', '59', '313', '518', '559', '273', '659', '10', '494', '185', '103', '101', '412', '450', '471', '309', '620', '519', '75', '289']
['195', '731', '76', '503', '107', '172', '203', '41', '426', '355', '223', '397', '22', '553', '96', '239', '736', '168', '499', '722', '438', '617', '379', '635', '469', '658', '595', '6', '589', '423']
['200', '375', '687', '648', '672', '483', '725', '84', '297', '87', '524', '485', '607', '712', '25', '417', '374', '704', '521', '38', '522', '661', '246', '445', '341', '332', '350', '388', '673', '97']
['299', '594', '142', '56', '191', '737', '441', '47', '214', '91', '16', '534', '85', '645', '158', '241', '603', '161', '124', '166', '24', '514', '461', '115', '510', '33', '529', '516', '173', '651']
['235', '112', '328', '282', '52', '608', '547', '647', '538', '205', '676', '447', '377', '526', '468', '367', '449', '584', '576', '407', '218', '378', '95', '685', '465', '613', '579', '310', '330', '474']
['259', '583', '4', '369', '501', '662', '120', '30', '133', '601', '376', '296', '541', '146', '692', '349', '523', '728', '630', '9', '181', '691', '646', '358', '70', '300', '119', '134', '288', '256']
['489', '611', '623', '216', '508', '5', '395', '488', '344', '690', '419', '562', '709', '719', '153', '457', '359', '411', '422', '466', '315', '357', '625', '73', '226', '53', '234', '272', '68', '569']
