['428', '52', '702', '49', '307', '548', '197', '448', '814', '161', '983', '434', '738', '749', '48', '56', '907', '47', '751', '304']
['759', '976', '882', '786', '969', '886', '75', '43', '947', '654', '271', '378', '215', '834', '196', '106', '176', '384', '248', '815']
['510', '156', '930', '782', '637', '669', '769', '270', '46', '661', '165', '223', '553', '460', '457', '792', '352', '534', '668', '796']
['648', '429', '285', '613', '393', '892', '292', '206', '762', '492', '482', '136', '153', '928', '561', '96', '127', '872', '445', '941']
['704', '412', '344', '829', '542', '441', '68', '389', '710', '847', '724', '579', '208', '943', '97', '862', '585', '754', '108', '241']
['968', '59', '396', '119', '745', '170', '580', '589', '833', '653', '289', '326', '945', '980', '906', '891', '180', '677', '202', '547']
['346', '150', '259', '302', '240', '816', '827', '25', '719', '665', '79', '89', '887', '415', '476', '727', '798', '405', '375', '154']
['568', '23', '53', '483', '65', '773', '595', '446', '874', '996', '67', '958', '210', '728', '174', '152', '69', '607', '626', '347']
['990', '404', '502', '324', '942', '810', '541', '723', '987', '846', '560', '263', '6', '388', '472', '939', '618', '760', '664', '565']
['211', '419', '828', '701', '16', '583', '900', '353', '666', '899', '186', '628', '511', '469', '349', '861', '102', '567', '115', '27']
['400', '812', '555', '640', '155', '972', '187', '584', '12', '513', '88', '594', '485', '491', '539', '243', '45', '423', '988', '298']
['24', '876', '699', '123', '852', '310', '104', '11', '454', '620', '366', '562', '716', '151', '281', '418', '644', '746', '484', '410']
['231', '848', '83', '946', '157', '193', '258', '556', '625', '432', '101', '305', '13', '902', '420', '630', '477', '690', '30', '954']
['7', '381', '299', '675', '203', '908', '37', '182', '698', '932', '144', '82', '205', '835', '735', '15', '36', '35', '545', '311']
['386', '535', '357', '603', '29', '266', '178', '414', '757', '877', '76', '286', '517', '540', '692', '164', '957', '809', '790', '822']
['331', '837', '473', '201', '844', '982', '503', '804', '2', '965', '766', '137', '977', '348', '216', '638', '107', '329', '578', '143']
['849', '520', '940', '507', '725', '451', '159', '917', '278', '730', '855', '683', '663', '582', '896', '376', '188', '586', '599', '501']
['756', '499', '252', '646', '254', '765', '895', '797', '608', '771', '986', '488', '581', '235', '883', '322', '516', '691', '387', '192']
['522', '714', '918', '272', '622', '276', '41', '550', '327', '726', '616', '148', '721', '139', '55', '303', '147', '694', '758', '262']
['641', '237', '160', '19', '949', '998', '145', '116', '113', '571', '806', '91', '493', '557', '953', '854', '486', '922', '98', '373']
['200', '964', '717', '334', '636', '1', '279', '438', '51', '509', '889', '768', '274', '287', '621', '903', '611', '590', '244', '293']
['870', '315', '910', '490', '598', '466', '354', '807', '229', '576', '680', '149', '297', '685', '867', '850', '997', '455', '449', '973']
