['5', '13', '14', '39', '40', '49', '51', '72', '74', '77', '88', '98', '105', '111', '117', '123']
['2', '3', '4', '6', '9', '22', '23', '38', '57', '65', '83', '85', '101', '108', '115', '130']
['24', '25', '29', '31', '50', '87', '127', '128', '138', '146', '151', '155', '158', '164', '175', '177']
['16', '18', '19', '26', '60', '71', '73', '113', '116', '121', '125', '129', '135', '139', '162', '185']
['15', '20', '42', '61', '66', '79', '107', '133', '134', '136', '141', '147', '153', '165', '188', '194']
['35', '52', '56', '68', '92', '102', '110', '120', '132', '156', '163', '174', '181', '183', '184', '199']
['12', '21', '43', '58', '63', '70', '84', '99', '157', '168', '176', '180', '192', '196', '204', '207']
['0', '11', '30', '48', '91', '97', '106', '109', '114', '140', '150', '173', '202', '205', '214', '216']
['27', '36', '95', '103', '119', '131', '169', '171', '186', '195', '200', '201', '212', '218', '225', '228']
['1', '34', '37', '55', '64', '78', '80', '122', '167', '179', '187', '211', '215', '217', '226', '229']
['8', '17', '33', '75', '82', '93', '100', '104', '143', '154', '189', '208', '220', '221', '227', '235']
['46', '53', '54', '76', '94', '137', '144', '145', '159', '170', '190', '230', '232', '234', '236', '241']
['32', '47', '86', '112', '118', '124', '172', '178', '198', '203', '210', '224', '237', '240', '243', '244']
['7', '28', '62', '69', '89', '90', '126', '149', '182', '191', '206', '222', '223', '233', '238', '245']
['44', '45', '59', '67', '81', '148', '152', '160', '161', '166', '193', '209', '213', '219', '239', '246']
['10', '41', '96', '142', '197', '231', '242', '247', '248', '249', '250', '251', '252', '253', '254', '255']
