['C4', 'G7', 'F8']
['D2', 'D3', 'D10']
['D0', 'H0', 'G10']
['F1', 'C10', 'F11']
['H1', 'C2', 'H12']
['G4', 'E7', 'F13']
['F4', 'A9', 'G15']
['B5', 'G9', 'H15']
['B1', 'C11', 'D16']
['E12', 'H17', 'G18']
['D17', 'B18', 'C20']
['B4', 'E13', 'G20']
['H4', 'B12', 'A21']
['A0', 'E5', 'G21']
['E2', 'C17', 'H21']
['A22', 'H22', 'F23']
['G0', 'B19', 'G23']
['B17', 'E21', 'D24']
['C14', 'B20', 'C25']
['A10', 'B13', 'E25']
['G2', 'A19', 'F25']
['B0', 'E11', 'A26']
['B6', 'G24', 'B27']
['A7', 'H18', 'D27']
['C13', 'E17', 'B28']
['D1', 'C15', 'C28']
['E10', 'F10', 'G28']
['D20', 'A27', 'B29']
['A15', 'G17', 'C29']
['A14', 'A20', 'E29']
['G3', 'D23', 'D30']
['C21', 'C22', 'E30']
['B14', 'F22', 'B31']
['E4', 'E24', 'D31']
['A3', 'G6', 'F31']
['F9', 'H23', 'D32']
['H2', 'G5', 'E32']
['G12', 'A29', 'G32']
['D26', 'A30', 'H32']
['C1', 'D8', 'A33']
['C8', 'F28', 'F33']
['B16', 'F18', 'A34']
['C19', 'B30', 'B34']
['B26', 'H26', 'E34']
['A5', 'A8', 'F34']
['H10', 'H14', 'G34']
['H5', 'D15', 'A35']
['H11', 'E23', 'B35']
['F7', 'F21', 'C35']
['G13', 'C34', 'D35']
['D18', 'A24', 'F35']
['B9', 'H31', 'A36']
['D19', 'F30', 'E36']
['D13', 'F26', 'H36']
['B23', 'E31', 'C37']
['B2', 'H24', 'D37']
['H3', 'E15', 'E37']
['G8', 'E9', 'F37']
['C0', 'F2', 'G37']
['D5', 'B22', 'C38']
['H16', 'B38', 'D38']
['A16', 'C30', 'F38']
['B8', 'B10', 'A39']
['A4', 'B40', 'C40']
['E19', 'C36', 'E40']
['G30', 'E35', 'F40']
['D22', 'H25', 'H40']
['E6', 'A17', 'A41']
['G1', 'F12', 'B41']
['E14', 'H19', 'C41']
['H35', 'D36', 'D41']
['D4', 'C27', 'F41']
['B25', 'D33', 'H42']
['A6', 'H9', 'C43']
['D21', 'G41', 'D43']
['E26', 'G43', 'C44']
['H20', 'A42', 'D44']
['D12', 'B24', 'E44']
['E28', 'B37', 'F44']
['D7', 'C31', 'H44']
['D28', 'A32', 'A45']
['H7', 'H43', 'B45']
['D29', 'F36', 'D45']
['E3', 'B36', 'H45']
['A11', 'E27', 'A46']
['G38', 'F45', 'C46']
['H6', 'B39', 'F46']
['C5', 'H27', 'C47']
['G16', 'C23', 'E47']
['F3', 'B15', 'F47']
['A31', 'G35', 'A48']
['F32', 'E39', 'C48']
['C18', 'F27', 'D48']
['C6', 'A44', 'E48']
['E8', 'E20', 'F48']
['G26', 'E33', 'H48']
['B3', 'D6', 'A49']
['A1', 'A38', 'B49']
['E41', 'G47', 'C49']
['D25', 'G27', 'D49']
['C39', 'B46', 'F49']
['A18', 'H39', 'H49']
['F16', 'A40', 'A50']
['C26', 'D42', 'B50']
['D9', 'E46', 'C50']
['B43', 'D47', 'F50']
['F29', 'H41', 'A51']
['D14', 'B21', 'H51']
['D39', 'E45', 'A52']
['G14', 'G51', 'B52']
['A2', 'D51', 'C52']
['C16', 'E18', 'E52']
['G46', 'C51', 'G52']
['B11', 'B42', 'A53']
['D40', 'A43', 'E53']
['H38', 'D50', 'G53']
['G25', 'H33', 'H53']
['F17', 'A47', 'A54']
['A13', 'E42', 'B54']
['G44', 'H46', 'D54']
['F5', 'F6', 'E54']
['G22', 'G40', 'G54']
['C3', 'F51', 'H54']
['F15', 'F53', '0']
['F19', 'E22', '1']
['A23', 'F39', '2']
['C12', 'D52', '3']
['H13', 'H50', '5']
['G29', 'E51', '6']
['B51', 'C54', '7']
['C9', 'E38', '8']
['D11', 'C32', '9']
['G31', 'G50', '10']
['F0', 'F52', '11']
['F20', 'C42', '13']
['G11', 'D34', '15']
['A12', 'E43', '16']
['A25', 'C33', '20']
['H30', 'F43', '22']
['H29', 'B48', '23']
['C7', 'H52', '24']
['B44', 'G45', '26']
['E1', 'E50', '27']
['B47', 'E49', '28']
['B33', 'F42', '29']
['B7', 'H37', '30']
['H28', 'G33', '31']
['E16', '25', '34']
['B53', '21', '35']
['F14', 'F24', '36']
['G36', '18', '37']
['G42', 'C45', '38']
['E0', 'G48', '39']
['D53', '14', '40']
['H8', 'H34', '41']
['C53', '43', '44']
['D46', '33', '46']
['A28', '4', '48']
['G19', '47', '49']
['G49', '12', '50']
['A37', 'G39', '51']
['H47', '32', '52']
['F54', '17', '53']
['C24', '45', '54']
['B32', '55', '56']
['19', '57', '59']
['42', '58']
