['a9', 'a18', 'a197', 'a27', 'a22', 'a34', 'a43', 'a66', 'a95', 'a74']
['a40', 'a41', 'a50', 'a57', 'a51', 'a190', 'a64', 'a70', 'a71', 'a105']
['a14', 'a206', 'a23', 'a44', 'a86', 'a77', 'a73', 'a104', 'a115', 'a124']
['a63', 'a49', 'a56', 'a85', 'a89', 'a191', 'a107', 'a125', 'a133', 'a150']
['a8', 'a207', 'a42', 'a106', 'a120', 'a123', 'a130', 'a135', 'a157', 'a152']
['a29', 'a94', 'a93', 'a76', 'a75', 'a99', 'a134', 'a146', 'a166', 'a176']
['a5', 'a20', 'a36', 'a37', 'a55', 'a80', 'a129', 'a141', 'a180', 'a187']
['a0', 'a7', 'a2', 'a69', 'a54', 'a58', 'a145', 'a174', 'a183', 'a205']
['a11', 'a12', 'a32', 'a100', 'a119', 'a127', 'a131', 'a159', 'a202', 'a208']
['a16', 'a98', 'a128', 'a155', 'a164', 'a185', 'a182', 'a203', 'a218', 'a219']
['a88', 'a39', 'a90', 'a97', 'a108', 'a216', 'a214', 'a213', 'a222', 'a224']
['a47', 'a192', 'a72', 'a112', 'a165', 'a170', 'a210', 'a215', 'a220', 'a230']
['a204', 'a83', 'a92', 'a110', 'a116', 'a122', 'a172', 'a199', 'a225', 'a235']
['a4', 'a13', 'a201', 'a24', 'a48', 'a59', 'a149', 'a171', 'a200', 'a236']
['a198', 'a28', 'a38', 'a118', 'a126', 'a154', 'a195', 'a211', 'a234', 'a248']
['a193', 'a35', 'a87', 'a96', 'a132', 'a168', 'a175', 'a177', 'a212', 'a249']
['a52', 'a67', 'a91', 'a82', 'a103', 'a158', 'a209', 'a233', 'a243', 'a246']
['a68', 'a33', 'a62', 'a84', 'a144', 'a156', 'a181', 'a189', 'a239', 'a31']
['a81', 'a60', 'a109', 'a148', 'a143', 'a151', 'a167', 'a46', 'a102', 'a121']
['a10', 'a15', 'a30', 'a147', 'a161', 'a173', 'a186', 'a232', 'a3', 'a136']
['a1', 'a114', 'a111', 'a160', 'a178', 'a221', 'a228', 'a21', 'a79', 'a162']
['a26', 'a117', 'a138', 'a140', 'a163', 'a238', 'a101', 'a142', 'a153', 'a217']
['a65', 'a25', 'a139', 'a226', 'a241', 'a242', 'a137', 'a179', 'a184', 'a223']
['a19', 'a61', 'a169', 'a188', 'a229', 'a231', 'a247', 'a45', 'a113', 'a237']
['a6', 'a17', 'a196', 'a194', 'a78', 'a227', 'a240', 'a53', 'a244', 'a245']
