['5', '8', '45', '78', '93', '96', '101', '107', '112', '129', '135', '161', '196', '204', '240', '249', '252', '272', '291', '296']
['0', '1', '15', '38', '113', '134', '145', '158', '170', '190', '194', '197', '209', '226', '237', '239', '250', '253', '293', '333']
['20', '23', '77', '87', '89', '114', '176', '179', '219', '231', '236', '260', '262', '290', '299', '307', '319', '337', '339', '345']
['21', '27', '39', '51', '64', '131', '136', '157', '182', '200', '217', '218', '223', '246', '285', '287', '297', '335', '342', '353']
['2', '30', '31', '32', '63', '66', '67', '91', '105', '130', '133', '199', '221', '264', '280', '311', '326', '336', '374', '376']
['16', '61', '95', '106', '119', '141', '150', '171', '173', '189', '208', '213', '229', '266', '275', '346', '357', '377', '394', '398']
['46', '55', '57', '128', '132', '139', '164', '177', '178', '277', '283', '284', '288', '314', '315', '323', '396', '402', '405', '412']
['14', '35', '44', '50', '53', '54', '99', '102', '155', '166', '224', '238', '300', '309', '321', '325', '332', '355', '370', '420']
['7', '40', '41', '83', '90', '98', '143', '191', '206', '216', '244', '248', '304', '382', '387', '391', '393', '399', '417', '421']
['10', '68', '81', '92', '108', '115', '183', '188', '201', '227', '243', '268', '279', '310', '324', '350', '365', '375', '384', '431']
['49', '74', '118', '126', '154', '210', '214', '251', '255', '265', '271', '301', '312', '329', '343', '397', '410', '423', '426', '438']
['29', '69', '71', '76', '86', '174', '187', '233', '254', '270', '276', '303', '330', '356', '362', '390', '419', '430', '432', '447']
['4', '58', '60', '82', '88', '122', '160', '192', '256', '263', '294', '322', '360', '383', '413', '440', '442', '443', '452', '453']
['84', '123', '125', '181', '259', '274', '282', '306', '318', '327', '344', '359', '369', '381', '389', '425', '439', '441', '448', '460']
['3', '9', '42', '85', '109', '175', '220', '222', '235', '317', '351', '352', '361', '367', '385', '408', '415', '416', '457', '465']
['75', '117', '124', '137', '185', '205', '207', '228', '241', '257', '273', '305', '348', '409', '459', '461', '462', '466', '467', '470']
['6', '12', '19', '33', '52', '97', '111', '144', '148', '163', '165', '212', '225', '247', '341', '373', '380', '437', '455', '471']
['22', '34', '36', '65', '116', '120', '146', '172', '230', '258', '286', '316', '358', '366', '378', '434', '435', '449', '463', '477']
['47', '80', '104', '110', '153', '168', '198', '281', '320', '328', '331', '363', '364', '372', '395', '436', '450', '458', '475', '479']
['18', '43', '149', '162', '184', '193', '195', '215', '334', '368', '388', '392', '401', '403', '404', '422', '433', '454', '473', '480']
['24', '26', '48', '56', '72', '79', '94', '127', '142', '156', '186', '202', '292', '295', '371', '379', '428', '469', '478', '481']
['13', '17', '59', '70', '103', '140', '152', '159', '203', '242', '245', '407', '411', '414', '424', '464', '468', '474', '487', '488']
['25', '62', '121', '147', '211', '232', '261', '269', '302', '338', '347', '386', '427', '429', '444', '446', '472', '484', '485', '491']
['11', '73', '100', '138', '167', '180', '267', '298', '313', '340', '354', '400', '418', '445', '476', '482', '490', '495', '496', '497']
['28', '37', '151', '169', '234', '278', '289', '308', '349', '406', '451', '456', '483', '486', '489', '492', '493', '494', '498', '499']
