['95', '16', '34', '138', '7', '111', '46', '19', '133', '171', '212', '236']
['45', '15', '9', '120', '48', '11', '118', '400', '275', '259', '239', '298']
['43', '114', '31', '38', '107', '83', '52', '3', '159', '188', '210', '202']
['32', '79', '84', '147', '297', '290', '295', '156', '213', '215', '269', '278']
['13', '59', '134', '142', '30', '109', '283', '293', '190', '222', '183', '353']
['132', '57', '124', '197', '265', '307', '172', '268', '257', '217', '267', '406']
['66', '86', '126', '145', '74', '97', '252', '285', '168', '230', '195', '368']
['6', '21', '141', '250', '201', '276', '221', '173', '167', '338', '459', '396']
['135', '128', '76', '127', '149', '77', '116', '146', '209', '189', '234', '359']
['117', '22', '153', '41', '309', '247', '282', '311', '256', '343', '414', '376']
['144', '113', '67', '154', '199', '238', '264', '434', '364', '373', '348', '369']
['51', '129', '292', '178', '253', '271', '251', '176', '289', '457', '435', '440']
['33', '80', '0', '58', '63', '223', '274', '225', '254', '423', '418', '325']
['105', '139', '4', '55', '72', '125', '255', '208', '404', '330', '370', '466']
['1', '28', '218', '160', '262', '169', '304', '231', '372', '322', '312', '410']
['50', '143', '204', '244', '182', '180', '232', '206', '463', '462', '433', '365']
['62', '100', '85', '122', '110', '166', '174', '305', '272', '387', '390', '374']
['91', '42', '101', '106', '115', '78', '310', '308', '280', '441', '378', '426']
['14', '165', '266', '184', '187', '241', '185', '284', '411', '416', '443', '388']
['73', '99', '94', '119', '261', '277', '229', '248', '270', '421', '458', '439']
['108', '23', '75', '137', '56', '44', '179', '438', '341', '409', '345', '444']
['60', '136', '157', '205', '224', '177', '170', '296', '191', '461', '460', '436']
['20', '8', '245', '291', '249', '294', '273', '328', '391', '398', '377', '333']
['150', '36', '87', '112', '5', '193', '263', '163', '207', '332', '430', '419']
['54', '131', '49', '70', '237', '347', '344', '326', '392', '450', '350', '360']
['39', '102', '12', '92', '233', '211', '235', '301', '323', '379', '383', '437']
['152', '47', '186', '246', '216', '243', '313', '408', '386', '340', '389', '393']
['25', '93', '96', '123', '303', '281', '258', '162', '329', '363', '451', '335']
['26', '148', '82', '24', '35', '71', '242', '300', '194', '315', '417', '324']
['103', '61', '89', '151', '158', '227', '286', '382', '403', '412', '467', '399']
['37', '81', '288', '196', '407', '346', '445', '366', '336', '429', '402', '432']
['2', '140', '98', '203', '181', '260', '161', '314', '320', '358', '356', '349']
['69', '64', '299', '164', '455', '339', '375', '380', '371', '453', '317', '454']
['27', '29', '10', '68', '302', '200', '316', '431', '394', '420', '447', '464']
['104', '65', '88', '121', '287', '214', '240', '384', '428', '367', '361', '401']
['155', '130', '40', '306', '175', '192', '219', '381', '331', '327', '319', '354']
['220', '226', '397', '357', '465', '452', '422', '427', '425', '342', '355', '413']
['17', '90', '198', '279', '337', '448', '362', '318', '424', '442', '405', '456']
['18', '53', '228', '385', '415', '446', '351', '334', '449', '352', '395', '321']
