['q6', 'q9', 'e10', 'p3', 'w6', 'b8', 'o2', 'e1', 'x8', 'w1']
['v10', 'c10', 'g6', 'g9', 't6', 't10', 'o3', 'y10', 'h8', 'o10']
['d3', 'c5', 'o4', 'n10', 'w10', 'l10', 'y6', 'u4', 'u3', 'u10']
['q5', 'e8', 'l7', 'l1', 'j4', 'e9', 'h3', 'h5', 'u2', 'c8']
['y8', 'q7', 'l8', 'w9', 'r8', 'h9', 'a7', 'u6', 'm2', 'j3']
['y5', 'g2', 't7', 'j8', 'd5', 'e4', 'f10', 'e2', 'r7', 'h10']
['m10', 't5', 't2', 'w5', 'e6', 'r9', 'k10', 'm9', 'b9', 'f2']
['b4', 'o5', 'e7', 'r1', 'a9', 'x1', 'u1', 'm5', 'x2', 'f4']
['y7', 'd1', 'g7', 't4', 't3', 'j6', 'o9', 'o8', 'a2', 'f5']
['t8', 'l3', 'j7', 'o1', 'p4', 'c7', 'f3', 'f6', 's9', 'd10']
['g8', 't9', 'w2', 'a5', 'm6', 'p1', 'f1', 'f8', 'g3', 'g1']
['y1', 'q3', 'g4', 'b3', 'y3', 'r6', 'h1', 'u8', 'u7', 'k3']
['y2', 'g5', 'l5', 'x10', 'j5', 'h4', 'p5', 'p9', 's3', 'k2']
['y9', 'j10', 'y4', 'o7', 'u9', 'c3', 'c9', 's8', 's2', 'k6']
['c4', 'x4', 'b7', 'b2', 'e5', 'r4', 'a3', 'm4', 'p7', 'k5']
['q1', 'q2', 'p10', 'j9', 'w3', 'u5', 'm7', 'x7', 'p6', 'k9']
['l6', 'w8', 'r3', 'a4', 'x3', 'x5', 's1', 's5', 'b5', 'i9']
['d8', 'd9', 'a6', 'c1', 'p2', 'f9', 's4', 'k7', 'i3', 'a1']
['r10', 'o6', 'n7', 'w7', 'b1', 'i7', 'i6', 'v3', 'v5', 'v6']
['d7', 'j2', 'd2', 's10', 'm3', 'm8', 's6', 'k1', 'i4', 'v7']
['t1', 'q10', 'q8', 'h7', 'x6', 'p8', 'w4', 'i8', 'i5', 'i10']
['l4', 'l2', 'l9', 'e3', 'm1', 'i1', 'b10', 'v4', 'v8', 'x9']
['c6', 'r5', 'h2', 's7', 'k4', 'k8', 'a10', 'v2', 'n9', 'n1']
['d4', 'q4', 'j1', 'b6', 'f7', 'v1', 'v9', 'n8', 'n2', 'n4']
['r2', 'h6', 'a8', 'c2', 'i2', 'd6', 'n3', 'n5', 'n6', 'g10']
