['39', '40', '60', '78', '95', '99', '108']
['5', '27', '54', '103', '134', '143', '144']
['2', '18', '34', '69', '124', '175', '179']
['4', '51', '56', '105', '172', '182', '186']
['8', '46', '107', '123', '193', '196', '200']
['119', '137', '138', '142', '151', '194', '203']
['45', '79', '121', '132', '177', '199', '208']
['6', '13', '82', '104', '139', '141', '215']
['85', '86', '116', '125', '169', '178', '238']
['152', '197', '204', '210', '216', '218', '239']
['33', '36', '148', '180', '227', '248', '252']
['115', '140', '150', '184', '213', '220', '259']
['57', '62', '166', '214', '228', '243', '270']
['66', '117', '174', '236', '251', '254', '271']
['102', '167', '223', '226', '256', '267', '273']
['21', '63', '81', '91', '130', '163', '276']
['48', '73', '94', '112', '122', '127', '278']
['22', '120', '133', '161', '237', '264', '279']
['31', '90', '128', '201', '205', '245', '283']
['15', '170', '188', '217', '233', '277', '290']
['19', '72', '190', '198', '268', '281', '291']
['11', '28', '52', '67', '255', '266', '294']
['20', '35', '173', '191', '246', '280', '297']
['37', '42', '74', '153', '171', '234', '298']
['12', '55', '80', '136', '235', '274', '300']
['7', '32', '44', '155', '159', '225', '301']
['26', '47', '110', '118', '146', '207', '302']
['10', '30', '64', '88', '168', '282', '304']
['43', '53', '92', '113', '165', '189', '305']
['14', '17', '68', '106', '176', '240', '310']
['25', '59', '160', '222', '224', '269', '311']
['84', '183', '185', '241', '263', '308', '314']
['41', '93', '111', '230', '257', '313', '316']
['29', '129', '158', '164', '272', '284', '317']
['23', '38', '202', '212', '221', '242', '318']
['9', '58', '71', '89', '96', '126', '322']
['131', '192', '229', '303', '307', '320', '323']
['1', '100', '181', '249', '299', '306', '326']
['76', '83', '135', '285', '289', '309', '331']
['149', '154', '157', '206', '296', '328', '334']
['16', '49', '65', '87', '147', '287', '335']
['70', '77', '195', '244', '265', '329', '336']
['98', '162', '209', '324', '325', '333', '337']
['3', '211', '250', '261', '312', '340', '343']
['50', '61', '253', '295', '338', '341', '344']
['101', '114', '247', '260', '288', '330', '345']
['156', '219', '231', '319', '327', '332', '346']
['24', '75', '97', '258', '275', '292', '347']
['187', '262', '286', '315', '339', '342', '348']
['109', '145', '232', '293', '321', '349', '350']
