['5', '18', '29', '50']
['57', '77', '82', '85']
['41', '44', '71', '89']
['3', '14', '40', '151']
['97', '127', '139', '159']
['145', '150', '163', '164']
['20', '48', '153', '174']
['27', '38', '147', '181']
['148', '177', '179', '188']
['15', '165', '176', '190']
['32', '110', '138', '196']
['79', '94', '160', '212']
['25', '104', '172', '217']
['1', '214', '218', '219']
['4', '13', '115', '221']
['55', '106', '136', '224']
['76', '142', '211', '225']
['21', '26', '140', '226']
['166', '187', '192', '228']
['61', '83', '113', '238']
['34', '193', '206', '242']
['103', '117', '197', '244']
['43', '199', '216', '249']
['37', '209', '222', '250']
['53', '191', '254', '257']
['24', '59', '168', '259']
['2', '72', '135', '261']
['58', '64', '68', '265']
['11', '60', '109', '267']
['93', '118', '263', '268']
['65', '75', '96', '278']
['69', '171', '243', '282']
['88', '161', '207', '292']
['141', '279', '286', '293']
['167', '189', '239', '302']
['87', '178', '284', '305']
['36', '201', '273', '307']
['175', '272', '287', '315']
['10', '81', '149', '319']
['232', '283', '303', '321']
['16', '95', '309', '322']
['227', '234', '260', '323']
['22', '101', '235', '324']
['112', '162', '258', '327']
['247', '269', '280', '334']
['108', '143', '318', '335']
['19', '223', '310', '336']
['30', '195', '317', '339']
['266', '295', '311', '343']
['31', '182', '276', '344']
['132', '233', '251', '353']
['84', '120', '271', '356']
['56', '297', '337', '357']
['9', '107', '203', '360']
['215', '329', '355', '364']
['47', '301', '361', '368']
['129', '289', '291', '369']
['39', '49', '255', '370']
['86', '126', '229', '371']
['131', '312', '338', '373']
['99', '133', '253', '374']
['52', '74', '152', '375']
['204', '248', '262', '376']
['92', '128', '299', '385']
['183', '186', '333', '386']
['42', '180', '237', '388']
['155', '320', '328', '389']
['8', '185', '300', '391']
['67', '116', '274', '398']
['12', '230', '354', '399']
['28', '134', '379', '400']
['17', '78', '213', '401']
['0', '102', '125', '402']
['236', '294', '332', '403']
['316', '340', '358', '406']
['114', '200', '410', '412']
['154', '158', '362', '414']
['277', '395', '397', '418']
['137', '220', '304', '419']
['7', '62', '296', '420']
['51', '80', '347', '421']
['63', '352', '422', '423']
['270', '383', '417', '424']
['90', '240', '290', '427']
['144', '330', '392', '430']
['121', '245', '409', '431']
['45', '202', '428', '432']
['156', '170', '346', '433']
['285', '288', '342', '435']
['241', '365', '416', '436']
['105', '157', '366', '439']
['341', '407', '415', '440']
['194', '246', '413', '441']
['54', '404', '411', '443']
['252', '326', '393', '444']
['122', '123', '390', '448']
['23', '111', '445', '450']
['6', '91', '231', '451']
['33', '345', '382', '453']
['35', '325', '438', '454']
['130', '169', '378', '458']
['46', '314', '437', '459']
['275', '298', '377', '461']
['348', '363', '456', '462']
['124', '184', '447', '464']
['70', '73', '434', '466']
['198', '208', '349', '469']
['66', '384', '467', '471']
['313', '429', '446', '473']
['264', '449', '457', '475']
['98', '306', '372', '476']
['146', '210', '381', '477']
['359', '396', '474', '478']
['205', '394', '442', '479']
['119', '256', '452', '480']
['173', '455', '463', '483']
['308', '387', '472', '485']
['367', '481', '482', '488']
['350', '408', '487', '490']
['100', '351', '425', '491']
['380', '465', '486', '492']
['468', '470', '489', '493']
['281', '460', '484', '494']
['331', '405', '426', '495']
