['121', '189', '40', '533', '733', '176', '192', '66', '238', '363', '860', '594', '341', '214', '459', '914', '764', '754', '433', '734']
['229', '992', '487', '687', '317', '514', '509', '109', '728', '581', '458', '563', '773', '679', '117', '953', '717', '794', '146', '511']
['395', '909', '712', '466', '874', '183', '544', '489', '252', '940', '307', '817', '386', '599', '86', '620', '927', '738', '517', '871']
['525', '185', '767', '587', '337', '105', '165', '787', '483', '306', '48', '7', '971', '136', '793', '956', '32', '936', '735', '704']
['103', '442', '694', '412', '102', '352', '30', '928', '204', '749', '934', '558', '834', '543', '259', '187', '56', '150', '630', '375']
['161', '402', '346', '39', '660', '719', '973', '211', '541', '506', '755', '327', '276', '507', '220', '668', '629', '152', '438', '796']
['478', '74', '413', '258', '277', '270', '986', '849', '383', '21', '866', '842', '208', '265', '770', '865', '896', '573', '330', '20']
['667', '536', '529', '405', '790', '143', '807', '596', '709', '800', '67', '303', '802', '920', '982', '57', '334', '77', '861', '490']
['634', '715', '497', '582', '43', '465', '347', '213', '889', '133', '745', '718', '642', '774', '592', '251', '154', '90', '474', '163']
['301', '949', '726', '638', '114', '791', '516', '765', '345', '546', '518', '965', '195', '323', '96', '13', '431', '201', '835', '918']
['285', '457', '151', '922', '608', '957', '891', '6', '924', '239', '155', '182', '377', '938', '895', '16', '810', '467', '867', '286']
['76', '559', '937', '825', '472', '78', '342', '812', '557', '385', '643', '623', '318', '549', '64', '761', '703', '129', '740', '644']
['590', '655', '872', '768', '444', '241', '177', '416', '295', '637', '612', '250', '119', '49', '990', '748', '555', '688', '857', '22']
['785', '775', '952', '310', '358', '123', '828', '713', '991', '52', '975', '26', '47', '24', '348', '168', '676', '269', '205', '447']
['355', '929', '656', '256', '370', '662', '731', '492', '436', '111', '619', '35', '570', '978', '804', '784', '491', '819', '110', '522']
['732', '725', '271', '101', '407', '999', '897', '863', '91', '772', '58', '838', '639', '721', '372', '116', '59', '222', '54', '453']
