['256', '691', '324', '383', '129', '27']
['26', '349', '500', '350', '76', '286']
['461', '374', '569', '214', '152', '680']
['537', '146', '703', '223', '711', '224']
['513', '439', '529', '341', '445', '629']
['343', '78', '433', '326', '455', '452']
['406', '236', '436', '193', '29', '276']
['130', '258', '664', '685', '562', '656']
['322', '648', '502', '431', '465', '642']
['618', '667', '516', '392', '264', '708']
['601', '649', '170', '161', '218', '551']
['180', '512', '7', '139', '683', '15']
['120', '226', '68', '46', '428', '102']
['222', '329', '134', '549', '668', '272']
['255', '657', '441', '241', '280', '195']
['565', '673', '689', '304', '314', '71']
['525', '302', '53', '671', '509', '474']
['219', '65', '376', '647', '188', '375']
['615', '73', '714', '435', '250', '488']
['573', '50', '534', '169', '526', '9']
['390', '245', '239', '87', '473', '388']
['646', '357', '570', '442', '706', '364']
['96', '336', '288', '508', '132', '574']
['507', '578', '334', '43', '49', '98']
['566', '176', '51', '640', '64', '410']
['230', '44', '612', '650', '88', '412']
['285', '456', '696', '715', '260', '627']
['407', '628', '257', '204', '700', '155']
['18', '604', '23', '266', '196', '91']
['281', '216', '571', '499', '483', '391']
['687', '476', '97', '361', '654', '254']
['335', '681', '520', '25', '610', '597']
['42', '503', '312', '626', '492', '59']
['72', '354', '289', '319', '185', '424']
['380', '422', '128', '367', '611', '270']
['316', '430', '589', '561', '287', '515']
['325', '108', '382', '122', '75', '212']
['595', '99', '17', '583', '429', '157']
['278', '301', '655', '328', '718', '118']
['633', '151', '77', '581', '13', '90']
['459', '191', '524', '173', '39', '282']
['290', '237', '262', '252', '234', '22']
['95', '450', '630', '227', '340', '660']
['112', '183', '136', '126', '11', '420']
['623', '426', '233', '643', '557', '408']
['61', '253', '141', '117', '168', '123']
['470', '608', '451', '321', '414', '273']
['175', '504', '497', '593', '454', '369']
['12', '194', '645', '147', '395', '558']
['355', '672', '28', '386', '501', '489']
['351', '402', '709', '86', '370', '614']
['244', '145', '38', '584', '567', '510']
['70', '339', '101', '682', '274', '342']
['269', '704', '468', '268', '472', '55']
['602', '162', '485', '271', '432', '453']
['514', '181', '446', '403', '67', '149']
['659', '66', '416', '419', '40', '131']
['603', '186', '477', '542', '165', '397']
['356', '443', '617', '172', '124', '249']
['582', '613', '389', '666', '299', '153']
['717', '201', '368', '189', '469', '296']
['479', '697', '493', '110', '494', '698']
['423', '463', '398', '460', '115', '220']
['31', '540', '178', '552', '37', '498']
['379', '158', '8', '263', '174', '505']
['69', '21', '89', '577', '651', '619']
['213', '140', '521', '93', '203', '4']
['187', '104', '372', '48', '330', '596']
['684', '209', '45', '624', '121', '295']
['303', '631', '105', '16', '154', '197']
['10', '543', '232', '491', '5', '606']
['365', '80', '107', '242', '585', '635']
['495', '298', '675', '547', '210', '83']
['458', '277', '315', '337', '592', '587']
['393', '156', '54', '394', '261', '346']
['225', '404', '251', '207', '590', '693']
['702', '283', '535', '425', '400', '217']
['347', '447', '82', '148', '639', '413']
['527', '327', '437', '707', '127', '661']
['421', '14', '701', '81', '2', '641']
['331', '448', '636', '199', '607', '205']
['496', '211', '159', '533', '694', '371']
['417', '575', '275', '523', '311', '653']
['444', '548', '599', '669', '434', '564']
['560', '690', '634', '318', '588', '385']
['56', '198', '674', '553', '229', '307']
['670', '308', '313', '52', '467', '511']
['579', '284', '658', '323', '259', '555']
['246', '119', '84', '665', '240', '58']
['113', '306', '30', '532', '609', '713']
['663', '522', '294', '506', '6', '279']
['62', '228', '486', '297', '142', '310']
['692', '478', '677', '200', '399', '24']
['85', '32', '19', '138', '487', '60']
['221', '309', '33', '137', '359', '652']
['352', '202', '481', '150', '235', '384']
['133', '517', '238', '538', '539', '405']
['625', '518', '719', '116', '638', '106']
['20', '292', '632', '586', '348', '576']
['79', '484', '358', '192', '338', '464']
['163', '544', '215', '164', '409', '109']
['167', '333', '637', '418', '621', '411']
['353', '103', '34', '438', '360', '243']
['591', '556', '344', '366', '541', '605']
['190', '457', '712', '373', '363', '265']
['676', '716', '92', '291', '622', '231']
['35', '111', '594', '531', '305', '679']
['143', '427', '94', '598', '466', '114']
['554', '177', '662', '381', '362', '449']
['247', '695', '482', '135', '100', '166']
['182', '0', '644', '580', '519', '536']
['545', '550', '559', '530', '475', '546']
['63', '568', '1', '440', '377', '332']
['74', '563', '171', '47', '572', '184']
['36', '387', '415', '345', '206', '3']
['160', '480', '248', '144', '300', '600']
['462', '678', '616', '57', '41', '267']
['125', '686', '293', '620', '705', '471']
['208', '688', '320', '699', '490', '401']
['396', '528', '710', '378', '317', '179']
