['831', '482', '940', '674', '704', '99', '750', '441', '120', '996', '367', '212', '766', '741', '762', '984', '939', '814', '789', '490', '10', '25', '472', '300', '113']
['517', '239', '651', '883', '629', '461', '163', '527', '128', '694', '410', '142', '894', '498', '576', '667', '96', '458', '718', '495', '776', '254', '262', '696', '809']
['637', '516', '602', '919', '521', '383', '582', '546', '944', '589', '690', '903', '181', '346', '355', '32', '588', '58', '361', '447', '386', '341', '829', '677', '451']
['228', '729', '583', '862', '431', '827', '786', '697', '270', '604', '561', '836', '123', '299', '785', '310', '935', '381', '950', '303', '18', '976', '486', '701', '513']
['433', '363', '331', '937', '23', '804', '848', '453', '614', '61', '278', '548', '362', '797', '95', '318', '199', '601', '485', '230', '38', '732', '326', '103', '545']
['524', '738', '673', '227', '553', '413', '854', '370', '422', '306', '585', '799', '236', '196', '19', '946', '705', '890', '540', '833', '724', '518', '654', '537', '687']
['24', '388', '650', '366', '285', '686', '376', '190', '891', '592', '325', '720', '826', '114', '965', '29', '682', '1', '275', '161', '378', '550', '218', '591', '500']
['508', '398', '481', '463', '162', '393', '467', '327', '993', '869', '136', '483', '535', '999', '928', '692', '858', '539', '818', '279', '642', '563', '339', '242', '41']
['185', '769', '385', '173', '887', '700', '603', '155', '102', '125', '533', '319', '846', '660', '573', '655', '505', '927', '249', '672', '941', '257', '581', '321', '480']
['192', '538', '691', '468', '771', '598', '176', '417', '860', '823', '9', '712', '200', '36', '549', '683', '618', '898', '217', '852', '197', '625', '455', '597', '2']
['11', '752', '920', '971', '139', '721', '751', '210', '990', '904', '133', '269', '719', '258', '783', '529', '241', '981', '733', '6', '571', '198', '154', '569', '37']
['615', '989', '892', '382', '897', '748', '888', '110', '343', '857', '90', '953', '499', '693', '22', '622', '819', '868', '824', '115', '231', '772', '491', '377', '780']
['493', '575', '532', '930', '296', '435', '60', '179', '761', '871', '5', '523', '419', '412', '222', '652', '134', '988', '288', '534', '840', '979', '469', '695', '201']
['408', '728', '623', '638', '810', '706', '838', '735', '715', '985', '611', '648', '599', '978', '273', '7', '214', '364', '764', '572', '156', '152', '304', '20', '709']
['778', '621', '342', '16', '816', '3', '375', '178', '100', '792', '653', '612', '777', '317', '313', '876', '931', '209', '620', '315', '966', '873', '511', '552', '661']
['731', '909', '411', '473', '88', '881', '51', '141', '223', '619', '466', '135', '294', '359', '33', '995', '291', '670', '248', '478', '663', '145', '942', '126', '895']
['760', '951', '727', '666', '737', '71', '817', '220', '921', '243', '793', '56', '74', '631', '322', '150', '277', '191', '586', '558', '659', '802', '982', '504', '404']
['900', '39', '584', '841', '460', '717', '271', '934', '512', '80', '710', '943', '97', '334', '813', '28', '384', '788', '745', '391', '252', '305', '407', '282', '853']
['658', '641', '89', '389', '253', '329', '259', '226', '875', '140', '8', '186', '111', '565', '215', '787', '496', '147', '531', '605', '194', '967', '143', '863', '360']
['779', '815', '844', '416', '356', '117', '40', '70', '926', '337', '164', '646', '82', '44', '509', '636', '837', '203', '574', '822', '885', '316', '121', '46', '997']
['73', '263', '938', '568', '551', '379', '309', '425', '775', '246', '784', '292', '287', '15', '843', '803', '265', '543', '94', '438', '105', '406', '175', '429', '250']
['864', '247', '889', '968', '782', '488', '165', '626', '593', '502', '368', '514', '600', '519', '395', '662', '723', '992', '52', '104', '132', '986', '765', '713', '749']
['357', '371', '336', '959', '109', '747', '711', '847', '698', '420', '811', '617', '307', '439', '624', '457', '146', '255', '127', '112', '335', '91', '54', '311', '896']
['308', '961', '911', '183', '66', '763', '57', '238', '266', '541', '812', '59', '219', '634', '116', '644', '72', '609', '98', '62', '350', '444', '353', '314', '579']
['414', '929', '347', '555', '477', '211', '910', '442', '244', '465', '67', '835', '424', '106', '276', '734', '954', '449', '859', '980', '427', '295', '0', '501', '290']
['234', '975', '107', '251', '689', '977', '510', '81', '83', '678', '459', '396', '432', '13', '530', '293', '820', '440', '474', '405', '828', '796', '85', '925', '791']
['151', '401', '754', '365', '945', '84', '577', '983', '332', '158', '668', '372', '807', '352', '471', '774', '475', '470', '494', '580', '130', '182', '358', '75', '170']
['92', '736', '708', '742', '283', '374', '770', '55', '806', '456', '78', '169', '856', '174', '124', '373', '390', '221', '613', '172', '544', '445', '974', '830', '119']
['446', '560', '264', '298', '570', '716', '421', '559', '821', '187', '312', '680', '171', '801', '225', '798', '184', '47', '43', '27', '851', '566', '450', '722', '645']
['340', '923', '193', '31', '149', '45', '607', '839', '526', '17', '4', '21', '452', '685', '428', '610', '960', '506', '671', '768', '767', '916', '947', '665', '627']
['743', '328', '492', '167', '232', '564', '387', '725', '758', '484', '707', '418', '302', '808', '914', '260', '714', '301', '773', '65', '595', '108', '877', '567', '746']
['918', '267', '932', '522', '153', '224', '924', '213', '272', '874', '842', '189', '834', '462', '237', '755', '547', '261', '195', '730', '122', '131', '688', '681', '26']
['684', '866', '233', '448', '515', '901', '949', '69', '86', '289', '905', '409', '832', '369', '794', '256', '922', '850', '423', '101', '969', '699', '657', '148', '994']
['240', '640', '415', '188', '628', '908', '781', '587', '912', '207', '795', '664', '902', '608', '344', '562', '330', '882', '899', '49', '42', '138', '202', '948', '957']
['399', '206', '180', '962', '235', '333', '656', '348', '229', '845', '556', '594', '280', '867', '93', '284', '596', '349', '12', '297', '702', '933', '907', '286', '578']
['886', '476', '633', '542', '489', '354', '159', '35', '63', '454', '436', '351', '48', '166', '606', '849', '861', '426', '394', '87', '129', '956', '177', '952', '740']
['338', '879', '30', '955', '676', '855', '739', '616', '675', '434', '380', '76', '324', '958', '756', '987', '703', '77', '525', '118', '865', '872', '893', '630', '870']
['274', '281', '973', '936', '880', '825', '245', '669', '507', '590', '647', '392', '635', '726', '915', '79', '437', '64', '320', '157', '536', '913', '970', '137', '963']
['964', '430', '204', '216', '443', '323', '268', '991', '753', '503', '884', '972', '528', '397', '557', '53', '790', '649', '160', '205', '679', '144', '168', '68', '917']
