['100', '749', '549', '76', '115', '177', '491', '543', '548', '624']
['340', '427', '646', '554', '52', '36', '585', '558', '13', '411']
['313', '790', '465', '603', '685', '754', '31', '257', '305', '129']
['383', '159', '443', '402', '301', '419', '593', '724', '168', '360']
['744', '434', '101', '521', '793', '471', '735', '377', '3', '232']
['246', '2', '772', '425', '536', '352', '299', '380', '446', '375']
['656', '487', '202', '137', '608', '260', '547', '46', '673', '524']
['61', '770', '231', '276', '511', '116', '343', '135', '676', '637']
['761', '97', '596', '307', '234', '457', '5', '323', '69', '532']
['539', '172', '45', '8', '753', '658', '447', '467', '334', '630']
['131', '688', '579', '81', '634', '282', '609', '190', '610', '424']
['225', '533', '679', '623', '645', '755', '545', '206', '355', '311']
['651', '403', '368', '674', '28', '237', '85', '597', '219', '442']
['485', '550', '269', '417', '79', '364', '278', '555', '734', '223']
['641', '414', '342', '691', '236', '396', '267', '350', '333', '513']
['657', '218', '111', '312', '153', '329', '30', '306', '25', '520']
['370', '275', '390', '281', '599', '178', '200', '290', '244', '345']
['369', '395', '776', '742', '259', '332', '229', '580', '775', '258']
['338', '249', '262', '764', '133', '602', '445', '722', '160', '136']
['682', '684', '517', '183', '317', '561', '35', '570', '503', '587']
['152', '595', '566', '19', '110', '164', '99', '773', '670', '195']
['222', '367', '62', '725', '683', '534', '407', '347', '448', '798']
['702', '401', '295', '569', '216', '344', '745', '147', '77', '499']
['435', '298', '665', '663', '614', '250', '594', '73', '789', '619']
['526', '470', '573', '604', '150', '671', '192', '733', '238', '797']
['51', '606', '666', '0', '94', '251', '397', '678', '98', '268']
['728', '660', '39', '207', '217', '621', '247', '404', '523', '466']
['163', '616', '669', '716', '765', '729', '791', '26', '778', '567']
['82', '331', '617', '588', '71', '600', '431', '214', '751', '283']
['743', '642', '557', '535', '714', '132', '50', '366', '114', '292']
['690', '731', '372', '32', '365', '221', '233', '726', '777', '771']
['584', '382', '198', '279', '228', '454', '24', '692', '752', '277']
['400', '405', '546', '495', '182', '430', '235', '762', '429', '41']
['316', '302', '629', '204', '668', '303', '459', '436', '239', '203']
['90', '468', '189', '432', '72', '661', '388', '23', '230', '449']
['769', '654', '462', '540', '38', '393', '248', '337', '639', '297']
['145', '458', '730', '245', '211', '494', '336', '525', '327', '144']
['102', '719', '113', '105', '699', '483', '787', '60', '627', '538']
['698', '339', '149', '649', '86', '118', '757', '284', '261', '37']
['515', '492', '286', '544', '1', '348', '406', '142', '42', '508']
['708', '482', '779', '697', '171', '514', '782', '518', '47', '759']
['586', '363', '739', '389', '95', '127', '574', '711', '631', '318']
['175', '410', '551', '371', '451', '93', '330', '12', '166', '530']
['125', '581', '106', '766', '243', '14', '155', '84', '461', '357']
['531', '556', '148', '130', '83', '169', '56', '58', '721', '74']
['675', '322', '553', '254', '361', '422', '201', '747', '781', '680']
['710', '453', '509', '672', '140', '713', '80', '426', '605', '489']
['541', '705', '618', '737', '349', '792', '455', '633', '264', '315']
['21', '542', '7', '40', '103', '173', '253', '628', '353', '582']
['647', '689', '607', '54', '653', '474', '66', '91', '519', '571']
['27', '196', '387', '141', '65', '187', '319', '528', '578', '320']
['33', '194', '20', '760', '381', '59', '475', '565', '469', '161']
['89', '120', '289', '44', '644', '9', '563', '795', '325', '379']
['484', '527', '723', '625', '659', '181', '652', '643', '450', '562']
['351', '622', '241', '480', '612', '341', '154', '57', '687', '409']
['794', '104', '356', '506', '385', '456', '121', '576', '185', '310']
['156', '242', '560', '732', '552', '504', '300', '786', '496', '158']
['638', '664', '88', '648', '109', '78', '783', '477', '108', '68']
['741', '423', '703', '197', '294', '272', '796', '590', '478', '479']
['392', '746', '174', '601', '4', '107', '768', '335', '210', '274']
['785', '304', '490', '399', '291', '704', '373', '452', '186', '146']
['15', '18', '706', '415', '650', '488', '440', '715', '87', '694']
['384', '34', '48', '176', '112', '529', '444', '374', '53', '498']
['522', '126', '226', '252', '263', '780', '486', '376', '774', '667']
['273', '265', '412', '686', '128', '22', '151', '124', '620', '227']
['507', '70', '16', '695', '138', '285', '63', '75', '655', '11']
['386', '213', '29', '750', '701', '215', '720', '287', '354', '180']
['463', '96', '727', '564', '324', '394', '464', '502', '583', '293']
['271', '328', '421', '510', '740', '224', '501', '296', '613', '640']
['589', '799', '170', '712', '288', '756', '592', '119', '314', '67']
['598', '212', '205', '346', '493', '309', '788', '709', '165', '6']
['500', '738', '420', '736', '64', '139', '255', '537', '416', '681']
['184', '758', '433', '199', '635', '615', '10', '632', '326', '193']
['662', '220', '49', '437', '358', '476', '391', '472', '359', '179']
['677', '512', '767', '591', '398', '441', '117', '516', '748', '707']
['208', '240', '134', '321', '209', '717', '559', '696', '763', '308']
['122', '505', '575', '167', '408', '473', '143', '266', '280', '270']
['460', '191', '157', '188', '439', '693', '92', '17', '378', '55']
['428', '636', '611', '123', '784', '497', '43', '413', '256', '626']
['481', '162', '362', '568', '577', '572', '700', '418', '438', '718']
