['595', '79', '268', '709', '394', '883', '385', '143', '39', '154', '793', '410', '76', '447', '294', '780', '757', '642', '55', '279', '11', '720', '661', '211', '376', '248', '807', '140', '92', '21', '509']
['825', '693', '176', '4', '474', '69', '339', '890', '545', '423', '737', '750', '818', '758', '774', '101', '656', '399', '153', '403', '312', '655', '783', '432', '104', '217', '37', '367', '892', '465', '831']
['726', '260', '518', '396', '743', '109', '811', '167', '489', '610', '735', '338', '535', '125', '849', '227', '650', '91', '393', '414', '846', '334', '540', '644', '517', '536', '702', '244', '906', '832', '245']
['675', '940', '703', '718', '581', '887', '607', '208', '713', '894', '798', '556', '934', '654', '283', '949', '514', '761', '128', '784', '17', '206', '695', '78', '836', '372', '54', '261', '805', '479', '202']
['254', '640', '897', '580', '834', '550', '733', '672', '932', '515', '314', '398', '698', '392', '113', '82', '491', '420', '237', '216', '506', '584', '614', '115', '158', '374', '255', '871', '683', '548', '64']
['210', '429', '882', '307', '530', '779', '923', '413', '841', '353', '900', '544', '608', '102', '712', '538', '269', '133', '937', '748', '53', '340', '445', '688', '724', '627', '562', '357', '459', '596', '195']
['80', '114', '839', '122', '575', '952', '662', '738', '336', '741', '863', '696', '449', '691', '686', '117', '9', '496', '775', '362', '172', '557', '166', '828', '343', '756', '826', '707', '597', '335', '160']
['350', '252', '61', '65', '27', '331', '615', '714', '180', '264', '594', '225', '274', '63', '561', '532', '451', '444', '473', '742', '480', '931', '879', '524', '24', '319', '907', '250', '43', '948', '8']
['321', '161', '68', '623', '471', '497', '375', '847', '643', '486', '229', '617', '959', '159', '559', '754', '72', '611', '439', '667', '660', '209', '492', '450', '93', '425', '448', '873', '599', '914', '527']
['609', '366', '926', '395', '928', '899', '278', '495', '365', '212', '59', '371', '75', '954', '430', '175', '669', '731', '411', '454', '320', '198', '815', '419', '313', '297', '391', '504', '915', '66', '878']
['484', '659', '286', '221', '126', '766', '253', '865', '328', '147', '921', '171', '97', '821', '711', '653', '239', '601', '819', '804', '325', '603', '889', '257', '835', '710', '185', '52', '862', '360', '85']
['150', '891', '827', '729', '390', '529', '162', '946', '405', '443', '812', '84', '458', '234', '207', '727', '700', '942', '794', '31', '593', '284', '690', '553', '953', '920', '404', '612', '569', '418', '358']
['902', '197', '363', '196', '309', '769', '311', '870', '657', '193', '136', '837', '734', '127', '490', '715', '511', '90', '148', '958', '864', '218', '525', '467', '704', '604', '67', '551', '438', '664', '165']
['586', '33', '956', '355', '452', '222', '149', '156', '571', '476', '296', '364', '220', '377', '665', '282', '498', '305', '344', '947', '455', '634', '746', '107', '523', '163', '81', '631', '521', '671', '628']
['469', '716', '619', '105', '911', '519', '112', '755', '2', '909', '620', '856', '502', '679', '151', '369', '94', '240', '192', '48', '868', '26', '867', '232', '568', '641', '348', '41', '791', '110', '941']
['699', '717', '88', '428', '215', '487', '813', '577', '624', '663', '16', '901', '352', '137', '546', '482', '246', '29', '230', '477', '728', '736', '787', '271', '500', '567', '258', '854', '917', '945', '322']
['590', '908', '764', '814', '178', '270', '513', '157', '522', '896', '705', '251', '602', '706', '589', '422', '308', '145', '361', '168', '823', '370', '635', '51', '786', '588', '272', '318', '200', '944', '822']
['576', '881', '386', '332', '98', '613', '542', '751', '886', '384', '103', '354', '677', '100', '242', '62', '722', '379', '173', '407', '541', '777', '141', '70', '13', '273', '801', '673', '132', '194', '427']
['861', '201', '293', '573', '144', '792', '747', '512', '142', '676', '875', '817', '639', '36', '560', '587', '646', '651', '152', '574', '203', '236', '636', '824', '749', '116', '324', '772', '558', '131', '56']
['190', '658', '95', '281', '888', '378', '760', '554', '785', '682', '424', '89', '50', '579', '877', '347', '507', '844', '809', '388', '919', '681', '564', '668', '501', '533', '537', '485', '723', '138', '955']
['753', '135', '315', '505', '408', '265', '0', '475', '939', '177', '788', '275', '876', '843', '848', '58', '289', '184', '25', '6', '924', '539', '694', '263', '57', '397', '243', '44', '155', '563', '912']
['373', '106', '7', '508', '460', '472', '583', '123', '446', '572', '382', '345', '219', '118', '768', '416', '461', '310', '767', '38', '433', '950', '916', '169', '442', '904', '389', '773', '840', '534', '435']
['409', '129', '645', '457', '96', '685', '853', '616', '884', '606', '453', '179', '317', '182', '49', '383', '857', '800', '555', '470', '684', '14', '744', '327', '346', '302', '468', '304', '860', '893', '287']
['456', '670', '464', '632', '626', '329', '763', '139', '276', '927', '765', '816', '266', '77', '930', '300', '951', '752', '421', '323', '600', '417', '303', '913', '622', '119', '830', '73', '86', '721', '866']
['277', '799', '463', '291', '87', '380', '770', '434', '285', '903', '99', '214', '111', '290', '957', '3', '483', '905', '808', '687', '922', '918', '223', '680', '781', '462', '146', '124', '415', '565', '795']
['618', '526', '20', '436', '5', '745', '170', '235', '929', '431', '598', '387', '638', '578', '936', '674', '71', '40', '35', '960', '466', '108', '762', '402', '552', '34', '228', '531', '401', '262', '740']
['330', '481', '1', '605', '18', '725', '183', '22', '933', '859', '356', '256', '810', '267', '74', '213', '701', '547', '543', '719', '19', '776', '759', '301', '181', '845', '943', '441', '833', '333', '630']
['233', '566', '299', '910', '224', '885', '510', '186', '858', '349', '400', '342', '12', '381', '732', '938', '516', '898', '629', '47', '83', '316', '326', '895', '503', '134', '582', '426', '45', '295', '120']
['591', '351', '708', '789', '288', '130', '164', '838', '852', '692', '368', '191', '806', '341', '359', '797', '406', '298', '337', '935', '850', '678', '205', '226', '437', '647', '829', '689', '121', '570', '520']
['585', '488', '880', '280', '803', '925', '648', '231', '778', '649', '842', '174', '782', '46', '188', '494', '549', '412', '820', '697', '60', '493', '637', '730', '633', '189', '204', '625', '851', '241', '238']
['187', '666', '528', '30', '592', '28', '872', '739', '869', '855', '771', '199', '874', '23', '292', '802', '15', '10', '42', '32', '249', '478', '621', '259', '306', '652', '796', '790', '247', '499', '440']
