['672', '648', '22', '67', '638', '480', '375', '217', '633', '504', '339', '260', '566', '441', '362', '623', '606', '254', '335', '546', '482', '227', '221', '683', '455', '481', '272', '422', '113', '2', '535', '326']
['308', '755', '114', '60', '45', '34', '410', '507', '248', '196', '430', '622', '785', '605', '94', '40', '57', '612', '495', '726', '202', '405', '640', '398', '661', '169', '651', '475', '514', '748', '103', '564']
['204', '228', '557', '522', '53', '47', '453', '574', '687', '586', '489', '56', '153', '478', '658', '783', '630', '385', '183', '150', '66', '416', '754', '520', '404', '80', '423', '77', '568', '62', '360', '793']
['768', '584', '722', '373', '324', '244', '70', '403', '390', '474', '729', '359', '578', '510', '389', '353', '649', '536', '788', '424', '450', '190', '427', '552', '732', '82', '631', '258', '280', '419', '688', '198']
['429', '68', '126', '496', '774', '758', '161', '229', '207', '61', '246', '348', '544', '118', '414', '343', '74', '351', '388', '704', '745', '124', '693', '597', '541', '769', '614', '71', '233', '447', '599', '488']
['84', '715', '712', '797', '131', '652', '205', '653', '677', '121', '0', '287', '691', '32', '537', '3', '686', '145', '749', '340', '656', '197', '132', '18', '90', '366', '538', '368', '525', '639', '20', '742']
['168', '151', '170', '659', '794', '462', '594', '543', '674', '570', '356', '106', '133', '609', '241', '472', '296', '641', '526', '777', '491', '92', '442', '377', '180', '1', '499', '328', '286', '374', '73', '553']
['37', '706', '660', '505', '713', '512', '79', '593', '662', '307', '285', '559', '252', '245', '464', '637', '318', '178', '469', '232', '295', '323', '147', '144', '224', '590', '685', '759', '555', '127', '278', '750']
['223', '524', '530', '63', '615', '43', '733', '735', '446', '38', '160', '247', '753', '458', '236', '644', '501', '457', '701', '142', '392', '516', '384', '668', '139', '5', '275', '673', '705', '560', '165', '589']
['513', '400', '172', '425', '531', '595', '310', '107', '549', '773', '752', '225', '214', '152', '21', '694', '117', '387', '174', '646', '650', '675', '740', '42', '81', '428', '518', '511', '173', '334', '271', '115']
['494', '325', '167', '317', '149', '235', '515', '792', '319', '350', '352', '528', '179', '565', '279', '415', '407', '666', '452', '532', '695', '364', '97', '35', '665', '76', '751', '692', '273', '219', '473', '689']
['490', '497', '592', '177', '747', '9', '138', '293', '503', '337', '789', '65', '440', '626', '64', '790', '192', '87', '101', '195', '58', '93', '408', '231', '795', '487', '239', '618', '610', '716', '664', '757']
['621', '456', '761', '379', '208', '576', '135', '162', '483', '728', '321', '443', '371', '263', '471', '577', '91', '83', '182', '102', '298', '361', '4', '426', '601', '262', '216', '449', '460', '671', '349', '14']
['542', '112', '276', '509', '406', '571', '533', '16', '338', '730', '667', '617', '433', '69', '721', '551', '477', '539', '303', '302', '253', '771', '767', '282', '654', '454', '242', '78', '444', '283', '163', '468']
['289', '421', '583', '237', '739', '346', '466', '186', '775', '15', '98', '579', '188', '41', '394', '255', '336', '264', '502', '130', '109', '760', '301', '128', '111', '770', '781', '329', '391', '10', '312', '141']
['49', '778', '681', '380', '294', '572', '85', '723', '268', '250', '99', '284', '420', '313', '386', '277', '506', '657', '575', '55', '175', '19', '765', '30', '238', '540', '120', '604', '554', '123', '297', '596']
['274', '717', '684', '210', '184', '266', '696', '158', '573', '607', '193', '29', '432', '521', '527', '718', '137', '12', '655', '11', '305', '191', '261', '59', '451', '369', '6', '315', '500', '567', '129', '116']
['486', '519', '36', '548', '154', '431', '708', '110', '357', '189', '562', '799', '413', '523', '498', '75', '725', '52', '744', '779', '171', '327', '545', '699', '724', '46', '270', '140', '762', '72', '731', '690']
['645', '493', '737', '331', '8', '628', '26', '155', '143', '581', '218', '709', '461', '365', '281', '616', '48', '613', '240', '136', '24', '13', '632', '402', '669', '51', '670', '437', '611', '734', '636', '784']
['409', '676', '743', '529', '333', '434', '342', '508', '517', '463', '563', '243', '600', '185', '786', '602', '738', '332', '148', '376', '448', '642', '624', '587', '341', '485', '156', '467', '194', '550', '381', '382']
['619', '363', '445', '417', '299', '393', '50', '28', '355', '17', '787', '249', '436', '234', '256', '200', '736', '25', '96', '320', '159', '187', '492', '267', '711', '89', '395', '439', '23', '300', '31', '119']
['104', '678', '782', '598', '556', '230', '399', '702', '203', '703', '251', '146', '746', '764', '647', '585', '314', '727', '791', '291', '86', '7', '181', '396', '798', '226', '309', '383', '643', '95', '763', '33']
['608', '44', '259', '625', '213', '105', '344', '27', '378', '766', '710', '470', '372', '620', '776', '166', '796', '269', '700', '290', '411', '627', '459', '257', '306', '707', '201', '720', '157', '354', '679', '222']
['682', '435', '397', '484', '591', '304', '438', '418', '122', '635', '412', '176', '547', '569', '582', '558', '780', '88', '330', '719', '772', '534', '663', '311', '265', '211', '209', '634', '741', '220', '476', '347']
['322', '206', '164', '603', '479', '401', '125', '370', '629', '698', '680', '358', '39', '316', '212', '756', '465', '54', '215', '292', '561', '134', '199', '580', '345', '288', '367', '108', '714', '697', '588', '100']
