['590', '652', '710', '424', '611']
['144', '691', '714', '427', '58']
['31', '520', '124', '820', '630']
['748', '426', '360', '323', '729']
['850', '391', '914', '891', '401']
['317', '89', '280', '174', '262']
['422', '122', '815', '22', '331']
['740', '629', '754', '213', '920']
['904', '151', '430', '646', '420']
['849', '541', '210', '792', '403']
['287', '967', '359', '276', '238']
['624', '733', '676', '939', '781']
['107', '750', '736', '444', '313']
['353', '909', '472', '111', '137']
['506', '228', '141', '536', '399']
['728', '492', '668', '53', '878']
['873', '715', '143', '10', '343']
['719', '603', '674', '706', '152']
['648', '62', '808', '363', '734']
['206', '557', '901', '625', '15']
['337', '643', '440', '551', '537']
['591', '432', '951', '297', '806']
['525', '106', '77', '765', '436']
['447', '972', '794', '78', '361']
['496', '948', '477', '580', '264']
['961', '539', '223', '924', '664']
['871', '530', '344', '532', '375']
['665', '126', '279', '508', '606']
['304', '769', '194', '804', '24']
['899', '568', '67', '902', '61']
['232', '662', '545', '592', '518']
['272', '744', '455', '393', '16']
['32', '266', '28', '575', '252']
['533', '378', '583', '943', '798']
['156', '766', '454', '963', '314']
['673', '469', '82', '940', '193']
['334', '693', '795', '207', '134']
['160', '482', '149', '578', '930']
['120', '622', '555', '441', '543']
['564', '632', '485', '494', '918']
['79', '675', '772', '771', '687']
['183', '895', '257', '390', '135']
['371', '214', '208', '416', '429']
['346', '468', '354', '672', '599']
['35', '400', '4', '348', '69']
['894', '835', '739', '235', '484']
['110', '751', '396', '697', '169']
['311', '986', '912', '411', '3']
['767', '57', '465', '75', '325']
['116', '507', '515', '989', '937']
['862', '928', '192', '843', '660']
['474', '917', '312', '854', '95']
['803', '845', '261', '118', '175']
['834', '29', '947', '990', '641']
['651', '491', '65', '848', '609']
['51', '306', '577', '598', '753']
['308', '994', '628', '108', '203']
['844', '488', '328', '686', '982']
['397', '282', '910', '368', '198']
['657', '938', '542', '995', '797']
['589', '655', '19', '392', '462']
['682', '237', '692', '84', '521']
['301', '291', '148', '52', '423']
['39', '159', '741', '752', '610']
['340', '838', '680', '449', '639']
['309', '663', '915', '305', '720']
['129', '157', '93', '100', '367']
['211', '168', '435', '679', '123']
['979', '408', '74', '816', '605']
['351', '90', '863', '732', '514']
['959', '45', '493', '969', '716']
['128', '617', '649', '921', '320']
['419', '558', '199', '381', '292']
['889', '721', '382', '885', '299']
['658', '274', '906', '80', '46']
['11', '756', '283', '41', '227']
['438', '102', '779', '49', '713']
['267', '818', '817', '189', '8']
