['26', '47', '57', '63', '71', '94', '127', '166', '173', '180', '190', '199', '207', '214', '217', '233', '243', '259', '260', '279', '284', '293', '297', '301']
['9', '16', '35', '68', '69', '82', '86', '87', '121', '154', '170', '176', '179', '211', '212', '231', '236', '257', '264', '304', '305', '308', '322', '324']
['3', '51', '64', '73', '83', '88', '108', '116', '122', '131', '149', '151', '155', '164', '167', '172', '205', '213', '239', '281', '285', '298', '365', '371']
['1', '2', '8', '17', '19', '23', '25', '32', '58', '62', '79', '97', '109', '123', '130', '145', '226', '229', '247', '273', '302', '334', '354', '378']
['27', '31', '43', '46', '52', '81', '92', '103', '112', '139', '163', '177', '197', '230', '245', '248', '250', '256', '312', '331', '340', '361', '362', '389']
['12', '40', '53', '60', '95', '101', '134', '137', '142', '153', '161', '188', '195', '204', '249', '253', '266', '330', '332', '339', '346', '387', '406', '409']
['7', '10', '33', '39', '45', '49', '90', '102', '104', '119', '143', '144', '157', '165', '178', '191', '206', '209', '299', '307', '344', '388', '395', '415']
['20', '24', '56', '61', '100', '115', '117', '136', '156', '175', '232', '235', '240', '311', '315', '326', '342', '350', '355', '358', '400', '412', '416', '417']
['36', '38', '75', '76', '77', '93', '132', '146', '148', '159', '174', '218', '224', '238', '261', '313', '317', '318', '333', '347', '349', '375', '376', '420']
['6', '22', '30', '96', '118', '133', '147', '150', '169', '187', '193', '194', '223', '251', '286', '316', '338', '351', '359', '366', '379', '402', '410', '422']
['11', '15', '72', '85', '129', '140', '186', '198', '219', '268', '271', '280', '292', '323', '335', '345', '391', '392', '393', '394', '396', '413', '432', '437']
['28', '48', '65', '67', '70', '91', '98', '99', '110', '171', '255', '278', '283', '314', '319', '325', '337', '369', '384', '398', '404', '408', '419', '442']
['5', '37', '125', '158', '196', '202', '234', '241', '258', '262', '294', '306', '321', '329', '356', '367', '372', '380', '385', '407', '414', '418', '436', '449']
['106', '107', '113', '135', '203', '208', '210', '220', '227', '265', '320', '336', '341', '343', '348', '360', '377', '427', '430', '431', '433', '440', '443', '451']
['29', '84', '89', '141', '162', '182', '200', '216', '242', '263', '275', '276', '291', '300', '309', '357', '368', '373', '382', '399', '424', '444', '457', '458']
['41', '44', '50', '66', '74', '105', '126', '152', '181', '192', '201', '215', '222', '237', '246', '254', '277', '287', '327', '381', '439', '453', '459', '460']
['4', '21', '59', '78', '111', '189', '225', '269', '270', '282', '288', '310', '352', '363', '386', '390', '405', '426', '428', '435', '438', '447', '450', '461']
['0', '13', '18', '34', '128', '168', '183', '184', '185', '228', '244', '289', '364', '374', '397', '401', '445', '448', '455', '456', '462', '463', '465', '466']
['54', '55', '114', '138', '160', '221', '252', '267', '272', '290', '295', '328', '383', '403', '421', '434', '454', '468', '469', '470', '471', '473', '475', '477']
['14', '42', '80', '120', '124', '274', '296', '303', '353', '370', '411', '423', '425', '429', '441', '446', '452', '464', '467', '472', '474', '476', '478', '479']
