['5', '8', '9', '19', '46', '48', '52', '62', '136', '142', '150']
['13', '16', '21', '42', '47', '58', '65', '97', '103', '139', '168']
['4', '6', '11', '56', '63', '118', '128', '151', '163', '169', '170']
['7', '14', '29', '49', '73', '75', '82', '83', '84', '160', '171']
['26', '45', '50', '74', '76', '96', '137', '145', '156', '166', '185']
['32', '40', '93', '112', '114', '119', '121', '124', '147', '175', '194']
['17', '54', '72', '77', '101', '122', '155', '173', '178', '191', '195']
['1', '24', '70', '99', '126', '131', '159', '164', '179', '193', '201']
['2', '57', '61', '98', '107', '120', '132', '154', '162', '183', '202']
['35', '67', '106', '113', '180', '181', '182', '190', '198', '200', '204']
['59', '71', '80', '89', '111', '117', '167', '177', '184', '186', '209']
['3', '10', '33', '41', '94', '144', '157', '174', '176', '197', '213']
['28', '53', '81', '92', '110', '125', '149', '165', '207', '222', '224']
['0', '22', '23', '37', '43', '69', '148', '153', '192', '223', '235']
['15', '36', '64', '78', '104', '129', '152', '158', '161', '210', '237']
['39', '55', '105', '123', '187', '203', '211', '212', '216', '217', '240']
['27', '79', '87', '109', '130', '172', '188', '196', '214', '226', '241']
['18', '60', '100', '135', '143', '206', '215', '218', '238', '243', '245']
['30', '88', '102', '115', '140', '146', '205', '208', '230', '239', '247']
['12', '68', '95', '116', '221', '228', '232', '233', '242', '246', '248']
['51', '86', '108', '133', '141', '189', '199', '227', '251', '252', '262']
['34', '38', '44', '134', '138', '219', '229', '250', '254', '257', '258']
['20', '31', '90', '91', '220', '231', '259', '256', '253', '260', '261']
['25', '66', '85', '127', '225', '234', '236', '244', '249', '255', '263']
