['gq', 'gi', 'dh', 'dr', 't', 'ey', 'ez', 'bm', 'bo', 's']
['gd', 'dv', 'du', 'h', 'jr', 'by', 'jl', 'jm', 'cj', 'co']
['gy', 'gj', 'dw', 'ir', 'bl', 'bj', 'bk', 'bz', 'jo', 'cp']
['gw', 'gl', 'di', 'da', 'ew', 'ep', 'es', 'ch', 'cv', 'ih']
['gc', 'ed', 'eg', 'bi', 'bu', 'br', 'jk', 'cu', 'iy', 'hu']
['gf', 'jp', 'jv', 'jf', 'c', 'w', 'cb', 'io', 'jb', 'hg']
['gr', 'dj', 'dt', 'dq', 'ji', 'ka', 'ja', 'ip', 'hs', 'ii']
['dy', 'kg', 'eq', 'bf', 'bh', 'bx', 'ca', 'cw', 'ct', 'ik']
['gu', 'gt', 'ba', 'bc', 'bt', 'cn', 'ho', 'hb', 'ij', 'al']
['jw', 'ex', 'o', 'hr', 'hj', 'b', 'aa', 'ag', 'af', 'an']
['gx', 'go', 'p', 'em', 'ei', 'ci', 'cl', 'hz', 'hi', 'ap']
['dk', 'dx', 'it', 'bn', 'bq', 'k', 'iv', 'jh', 'z', 'at']
['gv', 'gk', 'ia', 'dp', 'eh', 'js', 'bw', 'jd', 'aj', 'av']
['el', 'ea', 'eu', 'bd', 'bg', 'cm', 'hf', 'f', 'ac', 'ay']
['ds', 'iw', 'bv', 'ce', 'cz', 'cx', 'ht', 'hk', 'ao', 'ib']
['de', 'ek', 'jc', 'cf', 'he', 'il', 'ai', 'ah', 'in', 'fq']
['gg', 'ge', 'do', 'ef', 'jt', 'hm', 'kk', 'v', 'ix', 'fr']
['dz', 'eb', 'hv', 'hl', 'n', 'ab', 'ae', 'aw', 'ic', 'fw']
['gs', 'dl', 'et', 'jz', 'cs', 'hh', 'j', 'ak', 'fs', 'fz']
['gp', 'gz', 'dm', 'l', 'eo', 'hn', 'ie', 'zz', 'fu', 'fa']
['ga', 'dd', 'ej', 'bs', 'cd', 'r', 'if', 'fp', 'fx', 'fj']
['gn', 'gm', 'dg', 'db', 'en', 'ee', 'ju', 'be', 'cg', 'fk']
['dn', 'er', 'bp', 'cq', 'kc', 'hw', 'aq', 'fy', 'fh', 'fn']
['gh', 'x', 'ev', 'jx', 'jn', 'cr', 'fc', 'fe', 'fo', 'jj']
['dc', 'je', 'jg', 'cc', 'hp', 'ad', 'az', 'fl', 'a', 'kd']
['gb', 'd', 'g', 'iu', 'jy', 'hc', 'hd', 'au', 'ig', 'kj']
['df', 'ec', 'bb', 'hq', 'im', 'ax', 'fm', 'kb', 'ke', 'kh']
['ck', 'is', 'hx', 'fv', 'fb', 'fd', 'ff', 'fi', 'i', 'm']
['iq', 'hy', 'ha', 'as', 'ar', 'fg', 'e', 'kn', 'iz', 'q']
['jq', 'cy', 'am', 'ft', 'kf', 'ki', 'kl', 'u', 'km', 'y']
