['15', '20', '39', '45', '46', '76', '83', '85', '89', '103', '106', '109', '112', '115', '132', '178', '185', '202', '221', '224', '237', '243', '270', '275', '279']
['29', '31', '38', '48', '70', '75', '107', '124', '128', '129', '137', '142', '166', '183', '188', '211', '220', '234', '245', '256', '257', '262', '271', '276', '282']
['5', '7', '12', '21', '25', '33', '44', '49', '59', '60', '110', '170', '171', '180', '181', '189', '195', '215', '248', '259', '326', '338', '348', '354', '356']
['10', '27', '28', '37', '40', '42', '43', '52', '53', '114', '154', '158', '201', '205', '231', '233', '236', '273', '283', '291', '302', '308', '340', '360', '363']
['18', '56', '62', '73', '87', '88', '108', '113', '127', '133', '147', '149', '153', '160', '196', '209', '229', '230', '241', '253', '269', '331', '351', '371', '390']
['23', '35', '50', '63', '69', '71', '84', '86', '138', '159', '163', '200', '280', '289', '292', '313', '316', '319', '335', '375', '388', '397', '402', '415', '417']
['4', '17', '30', '79', '91', '96', '144', '161', '258', '285', '296', '297', '317', '324', '333', '342', '347', '358', '379', '386', '396', '398', '414', '416', '420']
['9', '16', '47', '54', '66', '74', '82', '100', '116', '120', '122', '141', '167', '213', '222', '226', '238', '247', '252', '322', '327', '355', '393', '406', '427']
['14', '24', '55', '58', '131', '164', '177', '193', '206', '214', '254', '260', '288', '293', '299', '301', '323', '329', '330', '372', '383', '412', '429', '437', '440']
['13', '68', '111', '134', '145', '168', '190', '192', '194', '197', '198', '250', '265', '267', '278', '307', '311', '339', '366', '373', '400', '421', '441', '452', '455']
['64', '80', '90', '92', '105', '119', '130', '165', '184', '216', '304', '306', '315', '320', '328', '334', '345', '353', '364', '380', '394', '434', '466', '469', '473']
['19', '22', '41', '57', '81', '126', '140', '143', '187', '225', '298', '300', '325', '365', '378', '381', '403', '407', '410', '422', '456', '457', '458', '459', '480']
['2', '11', '34', '77', '95', '97', '146', '152', '157', '169', '179', '186', '219', '228', '242', '255', '305', '312', '361', '387', '409', '413', '430', '472', '485']
['0', '3', '94', '101', '123', '148', '162', '176', '249', '294', '321', '332', '336', '349', '359', '382', '395', '423', '447', '451', '470', '474', '489', '490', '491']
['61', '72', '78', '135', '172', '175', '203', '210', '227', '263', '266', '290', '314', '391', '392', '401', '419', '424', '432', '444', '450', '475', '478', '481', '492']
['6', '93', '102', '136', '207', '235', '277', '309', '318', '357', '362', '374', '385', '389', '435', '442', '448', '460', '465', '468', '479', '483', '484', '493', '494']
['1', '8', '67', '98', '104', '117', '118', '139', '199', '208', '212', '217', '261', '268', '341', '343', '344', '346', '350', '404', '425', '433', '436', '464', '495']
['26', '121', '125', '155', '156', '174', '191', '232', '251', '264', '284', '286', '367', '369', '370', '376', '399', '431', '443', '449', '463', '471', '476', '488', '496']
['32', '36', '51', '65', '150', '173', '182', '246', '272', '287', '295', '310', '337', '377', '384', '411', '426', '438', '445', '453', '461', '482', '486', '487', '498']
['99', '151', '204', '218', '223', '239', '240', '244', '274', '281', '303', '352', '368', '405', '408', '418', '428', '439', '446', '454', '462', '467', '477', '497', '499']
