['24', '81', '87', '93']
['20', '62', '97', '98']
['28', '84', '92', '116']
['27', '65', '115', '125']
['4', '43', '60', '160']
['17', '143', '147', '161']
['7', '130', '156', '166']
['32', '123', '138', '171']
['37', '86', '105', '176']
['0', '51', '56', '186']
['107', '114', '136', '189']
['44', '111', '119', '190']
['110', '153', '188', '194']
['6', '76', '120', '197']
['19', '121', '198', '201']
['5', '50', '202', '205']
['35', '59', '89', '206']
['42', '45', '146', '208']
['21', '124', '132', '211']
['106', '170', '184', '215']
['9', '61', '67', '216']
['78', '113', '210', '220']
['8', '34', '129', '222']
['122', '173', '196', '226']
['74', '77', '165', '227']
['53', '96', '109', '233']
['10', '108', '217', '235']
['191', '195', '238', '241']
['88', '141', '236', '244']
['23', '41', '64', '245']
['38', '150', '174', '248']
['39', '213', '224', '251']
['91', '207', '247', '252']
['128', '187', '228', '254']
['26', '49', '255', '258']
['151', '163', '243', '260']
['126', '232', '257', '261']
['46', '85', '253', '265']
['54', '200', '225', '266']
['1', '13', '149', '267']
['40', '250', '263', '269']
['29', '100', '175', '273']
['158', '212', '240', '275']
['55', '103', '231', '279']
['63', '167', '169', '280']
['3', '135', '229', '282']
['139', '192', '272', '286']
['140', '237', '274', '294']
['94', '172', '219', '300']
['177', '284', '290', '301']
['18', '48', '72', '303']
['71', '112', '293', '304']
['66', '134', '249', '305']
['11', '223', '270', '312']
['82', '154', '221', '316']
['57', '117', '183', '319']
['33', '80', '144', '320']
['68', '104', '289', '321']
['276', '292', '296', '322']
['239', '268', '318', '325']
['16', '262', '309', '326']
['246', '310', '311', '330']
['299', '307', '328', '331']
['90', '230', '333', '337']
['70', '133', '178', '339']
['193', '283', '317', '342']
['179', '218', '335', '344']
['22', '102', '288', '345']
['168', '297', '338', '349']
['25', '47', '164', '350']
['31', '285', '298', '351']
['329', '334', '343', '352']
['118', '148', '157', '355']
['271', '295', '356', '362']
['14', '159', '185', '363']
['75', '199', '281', '364']
['2', '95', '145', '365']
['180', '256', '358', '368']
['242', '277', '314', '370']
['323', '324', '360', '372']
['52', '278', '347', '375']
['214', '287', '302', '378']
['15', '359', '371', '379']
['152', '308', '361', '380']
['30', '306', '366', '381']
['36', '101', '369', '382']
['127', '182', '353', '383']
['99', '162', '346', '385']
['155', '203', '386', '387']
['234', '348', '376', '388']
['58', '181', '327', '389']
['83', '315', '336', '390']
['357', '384', '391', '392']
['204', '259', '367', '393']
['209', '354', '377', '394']
['79', '264', '340', '395']
['69', '73', '142', '396']
['131', '137', '332', '397']
['12', '291', '313', '398']
['341', '373', '374', '399']
