['6', '15']
['12', '19']
['2', '46']
['27', '47']
['38', '48']
['14', '49']
['7', '50']
['5', '54']
['35', '69']
['39', '71']
['30', '75']
['80', '89']
['18', '92']
['83', '96']
['4', '97']
['78', '99']
['95', '100']
['55', '101']
['93', '104']
['22', '109']
['111', '114']
['52', '116']
['9', '124']
['64', '128']
['65', '129']
['34', '130']
['41', '134']
['108', '137']
['51', '139']
['127', '141']
['29', '146']
['113', '147']
['121', '148']
['62', '151']
['110', '153']
['103', '155']
['16', '156']
['17', '157']
['154', '160']
['8', '161']
['87', '163']
['88', '166']
['81', '169']
['86', '171']
['159', '173']
['138', '175']
['85', '185']
['181', '186']
['149', '188']
['40', '192']
['21', '193']
['63', '194']
['125', '195']
['162', '196']
['105', '197']
['42', '203']
['164', '204']
['152', '206']
['112', '207']
['0', '211']
['174', '213']
['70', '214']
['145', '216']
['76', '219']
['198', '220']
['218', '221']
['56', '223']
['176', '226']
['178', '228']
['115', '229']
['167', '230']
['158', '233']
['117', '234']
['74', '235']
['180', '238']
['140', '242']
['170', '243']
['184', '246']
['58', '247']
['179', '249']
['31', '251']
['241', '258']
['210', '259']
['67', '260']
['94', '261']
['143', '262']
['237', '266']
['205', '269']
['123', '271']
['265', '272']
['199', '274']
['264', '275']
['273', '279']
['253', '280']
['106', '282']
['61', '285']
['232', '286']
['172', '289']
['57', '290']
['53', '292']
['245', '293']
['225', '294']
['256', '295']
['296', '297']
['133', '298']
['190', '301']
['240', '302']
['276', '303']
['79', '304']
['255', '307']
['45', '310']
['118', '312']
['300', '313']
['119', '314']
['91', '316']
['309', '317']
['227', '318']
['98', '319']
['60', '320']
['257', '322']
['23', '323']
['37', '324']
['278', '325']
['288', '327']
['291', '328']
['77', '329']
['24', '330']
['66', '331']
['244', '332']
['315', '333']
['281', '334']
['150', '337']
['336', '339']
['32', '340']
['201', '342']
['191', '343']
['299', '344']
['59', '345']
['11', '346']
['10', '349']
['33', '350']
['217', '354']
['28', '360']
['326', '361']
['183', '362']
['142', '363']
['144', '364']
['224', '365']
['283', '366']
['236', '368']
['263', '369']
['122', '370']
['136', '371']
['43', '372']
['165', '373']
['239', '374']
['250', '376']
['367', '377']
['353', '378']
['248', '379']
['341', '382']
['26', '383']
['208', '384']
['308', '385']
['270', '386']
['380', '389']
['215', '390']
['388', '391']
['132', '395']
['394', '396']
['126', '397']
['254', '398']
['355', '399']
['287', '400']
['84', '403']
['44', '404']
['356', '405']
['311', '406']
['209', '407']
['267', '408']
['347', '409']
['305', '410']
['68', '412']
['177', '415']
['1', '416']
['202', '417']
['375', '418']
['182', '419']
['82', '421']
['168', '424']
['200', '425']
['321', '428']
['351', '430']
['392', '431']
['306', '433']
['72', '435']
['25', '438']
['411', '439']
['36', '440']
['348', '441']
['381', '442']
['222', '443']
['107', '444']
['90', '445']
['393', '446']
['131', '448']
['13', '449']
['120', '450']
['426', '451']
['358', '452']
['437', '453']
['423', '454']
['268', '455']
['434', '456']
['436', '457']
['231', '458']
['359', '459']
['277', '461']
['335', '462']
['135', '463']
['338', '465']
['413', '466']
['464', '467']
['3', '469']
['414', '471']
['352', '472']
['102', '473']
['189', '474']
['387', '475']
['460', '476']
['20', '477']
['429', '478']
['252', '479']
['480', '481']
['468', '483']
['402', '484']
['401', '486']
['482', '487']
['284', '488']
['420', '489']
['187', '490']
['447', '491']
['427', '492']
['212', '493']
['485', '494']
['357', '495']
['422', '496']
['73', '497']
['470', '498']
['432', '499']
