['51', '57', '78', '112', '154', '177', '181']
['13', '34', '42', '46', '68', '89', '210']
['0', '60', '99', '143', '153', '192', '219']
['24', '30', '118', '171', '193', '239', '248']
['1', '21', '159', '170', '176', '201', '249']
['29', '124', '131', '168', '238', '242', '260']
['11', '133', '200', '223', '259', '274', '281']
['107', '147', '184', '195', '209', '224', '284']
['6', '50', '156', '203', '211', '278', '292']
['129', '162', '234', '250', '282', '287', '306']
['4', '9', '116', '141', '188', '208', '313']
['20', '88', '96', '172', '258', '288', '317']
['39', '61', '91', '95', '101', '108', '324']
['19', '75', '142', '151', '241', '316', '337']
['23', '111', '167', '207', '253', '265', '338']
['70', '173', '185', '194', '256', '322', '339']
['5', '8', '233', '237', '267', '357', '359']
['33', '71', '97', '113', '120', '196', '367']
['82', '109', '138', '229', '311', '321', '373']
['48', '49', '52', '251', '285', '365', '376']
['43', '79', '86', '103', '157', '353', '383']
['36', '92', '93', '236', '296', '336', '384']
['134', '149', '206', '310', '358', '381', '386']
['83', '136', '169', '295', '341', '371', '388']
['14', '45', '65', '189', '226', '252', '391']
['27', '62', '121', '270', '283', '323', '392']
['17', '58', '127', '155', '163', '268', '398']
['12', '47', '273', '294', '328', '343', '399']
['64', '128', '137', '161', '352', '364', '400']
['22', '56', '165', '191', '370', '379', '401']
['10', '74', '182', '275', '385', '387', '402']
['77', '214', '221', '361', '372', '377', '406']
['16', '25', '115', '180', '279', '329', '416']
['98', '117', '158', '269', '325', '349', '417']
['7', '190', '380', '382', '408', '413', '419']
['32', '53', '212', '264', '266', '415', '423']
['31', '87', '187', '247', '351', '405', '424']
['119', '146', '298', '319', '366', '420', '426']
['148', '230', '277', '280', '299', '350', '428']
['76', '122', '199', '301', '368', '375', '430']
['100', '204', '213', '263', '345', '374', '431']
['59', '94', '145', '245', '347', '422', '434']
['80', '139', '254', '286', '297', '360', '437']
['183', '240', '291', '354', '362', '421', '441']
['38', '130', '135', '222', '305', '320', '442']
['63', '144', '197', '290', '346', '397', '446']
['35', '55', '123', '257', '302', '308', '447']
['69', '84', '179', '186', '293', '342', '450']
['28', '232', '243', '304', '340', '414', '451']
['72', '255', '303', '315', '327', '403', '455']
['40', '41', '73', '125', '174', '330', '456']
['81', '102', '331', '332', '396', '454', '457']
['67', '104', '105', '150', '333', '334', '458']
['126', '227', '411', '418', '425', '448', '459']
['2', '215', '276', '355', '378', '444', '462']
['217', '262', '344', '389', '427', '443', '463']
['235', '246', '314', '412', '433', '449', '464']
['106', '225', '244', '300', '348', '461', '465']
['175', '261', '369', '409', '410', '452', '466']
['66', '202', '218', '312', '326', '356', '470']
['26', '140', '164', '404', '435', '439', '474']
['18', '37', '132', '220', '309', '429', '476']
['205', '307', '318', '363', '438', '473', '478']
['152', '166', '216', '272', '467', '469', '480']
['231', '393', '460', '472', '475', '477', '484']
['160', '289', '432', '440', '453', '482', '485']
['3', '54', '85', '407', '436', '471', '486']
['90', '178', '335', '394', '468', '479', '487']
['44', '114', '271', '390', '395', '483', '488']
['15', '110', '198', '228', '445', '481']
