['448', '154', '68', '193', '157', '59', '88', '401', '148', '53', '358', '387', '235', '39', '288', '444']
['476', '124', '212', '232', '409', '315', '356', '423', '112', '69', '219', '236', '146', '285', '71', '89']
['225', '253', '384', '345', '7', '294', '51', '116', '354', '215', '480', '60', '249', '188', '344', '223']
['95', '471', '270', '371', '272', '152', '482', '174', '259', '216', '181', '73', '86', '483', '441', '123']
['481', '130', '414', '274', '437', '251', '121', '405', '460', '338', '390', '370', '479', '299', '210', '191']
['457', '349', '75', '2', '196', '262', '82', '306', '456', '173', '472', '374', '122', '19', '372', '427']
['106', '66', '170', '362', '473', '36', '202', '46', '217', '12', '44', '340', '255', '163', '200', '204']
['118', '300', '348', '475', '328', '295', '321', '145', '94', '15', '80', '113', '319', '85', '368', '165']
['466', '447', '18', '153', '240', '263', '101', '246', '198', '407', '134', '326', '377', '64', '147', '421']
['412', '383', '449', '168', '361', '380', '428', '329', '84', '40', '268', '257', '317', '303', '280', '440']
['144', '56', '136', '309', '128', '352', '105', '234', '176', '127', '214', '76', '162', '389', '149', '238']
['243', '308', '363', '293', '93', '11', '8', '424', '450', '334', '469', '378', '369', '425', '413', '282']
['78', '446', '485', '241', '49', '242', '5', '45', '422', '77', '108', '50', '454', '97', '125', '398']
['252', '406', '266', '179', '13', '434', '103', '260', '264', '129', '492', '439', '416', '464', '418', '96']
['376', '119', '426', '166', '48', '355', '397', '247', '6', '333', '394', '337', '184', '445', '273', '156']
['341', '120', '494', '126', '339', '313', '42', '496', '267', '34', '261', '17', '167', '178', '392', '138']
['171', '62', '459', '408', '296', '28', '139', '14', '360', '57', '490', '359', '21', '385', '393', '43']
['115', '141', '54', '203', '467', '35', '463', '195', '250', '314', '23', '470', '228', '442', '286', '269']
['307', '366', '373', '281', '292', '201', '403', '229', '172', '114', '221', '452', '187', '98', '291', '350']
['224', '400', '90', '455', '182', '351', '104', '70', '231', '342', '335', '239', '381', '190', '29', '159']
['10', '92', '347', '297', '256', '220', '135', '290', '287', '265', '109', '155', '458', '254', '399', '33']
['436', '209', '37', '316', '277', '495', '465', '248', '302', '161', '305', '478', '151', '491', '41', '1']
['72', '245', '150', '391', '189', '462', '16', '107', '486', '346', '419', '65', '79', '386', '353', '477']
['131', '26', '330', '310', '67', '429', '87', '177', '110', '327', '207', '433', '375', '111', '83', '283']
['4', '493', '461', '199', '453', '233', '3', '211', '158', '230', '132', '133', '415', '22', '208', '20']
['197', '336', '213', '58', '47', '298', '30', '206', '185', '331', '332', '226', '382', '438', '489', '289']
['395', '430', '312', '52', '484', '102', '417', '55', '318', '25', '244', '137', '271', '304', '278', '367']
['205', '432', '24', '364', '32', '99', '402', '324', '301', '474', '411', '323', '192', '140', '117', '142']
['143', '194', '379', '357', '27', '218', '404', '31', '468', '410', '325', '284', '279', '443', '258', '186']
['365', '435', '276', '275', '222', '420', '91', '451', '237', '38', '160', '487', '343', '396', '311', '169']
['9', '322', '227', '488', '100', '180', '63', '388', '431', '74', '164', '61', '175', '320', '81', '183']
