['19', '25', '44', '49', '62', '72', '80', '82', '126', '196']
['1', '16', '22', '46', '68', '69', '81', '122', '223', '269']
['13', '51', '53', '186', '212', '214', '220', '249', '296', '302']
['64', '92', '124', '175', '199', '205', '222', '250', '278', '310']
['39', '60', '87', '114', '144', '241', '262', '308', '318', '327']
['38', '58', '76', '184', '204', '255', '259', '326', '329', '333']
['45', '88', '117', '198', '233', '260', '271', '287', '292', '334']
['23', '63', '115', '116', '171', '192', '208', '304', '317', '343']
['61', '71', '103', '120', '166', '273', '288', '315', '349', '356']
['14', '21', '29', '145', '172', '263', '274', '307', '358', '360']
['33', '75', '77', '235', '258', '279', '298', '313', '341', '361']
['5', '59', '107', '173', '187', '234', '293', '320', '354', '366']
['6', '31', '130', '193', '247', '268', '289', '290', '339', '367']
['11', '98', '112', '147', '162', '246', '275', '284', '363', '368']
['90', '168', '177', '207', '225', '228', '230', '299', '321', '371']
['7', '93', '148', '153', '174', '217', '267', '335', '353', '372']
['8', '65', '159', '176', '272', '291', '300', '348', '370', '379']
['10', '56', '118', '125', '203', '215', '270', '336', '345', '381']
['9', '54', '84', '134', '142', '236', '322', '332', '364', '387']
['26', '110', '139', '170', '194', '227', '297', '340', '355', '388']
['20', '67', '91', '96', '108', '211', '243', '301', '316', '390']
['12', '55', '79', '143', '179', '231', '257', '346', '394', '403']
['37', '85', '102', '128', '157', '160', '248', '303', '369', '407']
['209', '229', '276', '311', '338', '351', '398', '399', '411', '416']
['41', '57', '111', '264', '337', '359', '362', '375', '404', '419']
['94', '133', '210', '213', '252', '253', '281', '384', '401', '421']
['95', '165', '191', '197', '324', '357', '402', '410', '423', '424']
['24', '27', '28', '32', '50', '226', '323', '378', '430', '442']
['97', '101', '121', '154', '155', '206', '306', '397', '427', '443']
['42', '180', '183', '195', '237', '342', '393', '400', '426', '444']
['100', '104', '140', '141', '152', '181', '242', '330', '376', '445']
['149', '190', '201', '244', '352', '408', '414', '418', '435', '448']
['18', '34', '35', '73', '123', '202', '218', '251', '431', '451']
['36', '78', '169', '265', '294', '295', '383', '395', '449', '452']
['3', '43', '105', '132', '189', '374', '389', '392', '396', '457']
['83', '109', '113', '129', '280', '305', '325', '382', '425', '458']
['2', '47', '135', '138', '146', '182', '221', '441', '446', '464']
['136', '151', '232', '417', '429', '433', '455', '459', '465', '466']
['89', '106', '161', '224', '282', '319', '405', '447', '461', '468']
['17', '314', '344', '373', '385', '386', '412', '428', '471', '474']
['86', '216', '245', '285', '328', '365', '439', '453', '456', '476']
['266', '277', '312', '422', '438', '450', '463', '467', '472', '481']
['30', '200', '219', '331', '350', '434', '454', '478', '483', '484']
['52', '150', '158', '185', '256', '283', '309', '440', '470', '485']
['40', '164', '188', '238', '406', '473', '475', '479', '487', '488']
['48', '66', '131', '156', '178', '254', '286', '377', '413', '490']
['167', '240', '261', '415', '420', '432', '460', '469', '477', '491']
['4', '70', '127', '163', '380', '409', '482', '486', '492', '494']
['74', '119', '137', '239', '347', '391', '493', '495', '496', '498']
['15', '99', '436', '437', '462', '480', '489', '497', '499', '500']
